Unit,Module,Question,Explanation
_u2_summarizing_data,_m2_examining_relationships,"Give the equation for the least squares regression line, and interpret it in context.","The equation for the least squares regression line is: Time = 994 - 0.39 * Year. The slope of the line indicates that the winning time for the 1500 meter race decreases by about 0.39 seconds every year, or by about 4 * 0.39 = 1.56 seconds, on average, from one Olympiad to the next. (The fact that the times are decreasing rather than increasing is also indicated by the fact that the value of b is negative.)"
_u2_summarizing_data,_m2_examining_relationships,"Give the equation for this new line and compare it with the line you found for the whole dataset, commenting on the effect of the outlier.","Once the outlier for the year 1896 is removed, the equation for the least squares regression line is:Time = 872 + (- 0.33 * Year)When the outlier is removed, the line ""drops"" a bit—the intercept is smaller and the slope is not as negative. Both of these results are quite reasonable, since the original data were pulled upward toward the outlier. Once this outlier is removed, the line drops."
_u2_summarizing_data,_m2_examining_relationships,"Our least squares regression line associates years as an explanatory variable, with times in the 1,500 meter race as the response variable. Use the least squares regression line you found in question 2 to predict the 1,500 meter time in the 2008 Olympic Games in Beijing. Comment on your prediction.","872 + (- 0.33 * 2008) = 209.36 seconds. This is an extrapolation. We cannot be sure that the linear dependence of winning times upon years holds past the range of the explanatory variable, which is the year 2000. At some point, the linear dependence must no longer apply, because it would predict impossible winning times."
_u2_summarizing_data,_m2_examining_relationships,A student scored an average of 90 in the introductory course. What score can we expect for this student in the upper-level course?,"Using the regression line, the correct answer is -1.4 + 90 = 88.6"
_u2_summarizing_data,_m2_examining_relationships,"Describe the relationship between the height and weight of the subjects suggested by the data. Consider the pattern of the data—mainly direction and form—and any deviations from this pattern, such as outliers.","The direction of the relationship is positive. In context, this means that individuals who are taller are heavier. The form of the relationship is curvilinear. Weight seems to increase more and more rapidly with height as we consider taller individuals. We might say that the relationship is moderate in strength, because the points suggest, but do not closely follow, a curvilinear form. There do not appear to be any outliers."
_u2_summarizing_data,_m2_examining_relationships,"Consider how taking gender into account adds to our understanding of the overall form of the relationship. Address any interesting differences between the clusters associated with the two genders. More specifically, address the following two questions:(A) Where do the males and females fall on the scatterplot with respect to height and weight. Explain why you think this is so. (B) Does it look like the weight of females increases with an increase in height as quickly as the weight of males increases with a corresponding increase in height?","We see that the overall form of the relationship can be thought of in terms of two clusters, one for each gender. Points corresponding to the females cluster in the lower left of the scatterplot, which means that females generally have a lower height and weight than males (due to obvious biological differences between males and females). The main difference between males and females is that the weight of females does not appear to increase as quickly with height as the weight of males does."
_u3_producing_data,_m1_sampling,"For part A., we will now determine whether the four variables' behavior for the random sample is comparable to their behavior for the population. Place your findings from Part A, steps 1-4 above in the text box below.","Different random samples will yield different results, but the summaries should be roughly the same for population and sample. Here is what we got:Step 1. The percentage of right-handed students is 87% in the population and it was 88% in our random sample; close enough to assert that there is no bias.Step 2. The percentage of females is 62% in the population and 65% in our random sample; there is no clear evidence of bias.Step 3. The SAT Verbal scores averaged 589 for the population and 581 for our random sample; again, there is no clear evidence of bias.Step 4. Finally, median age for the population is 19.7 and 19.7 for our random sample; there is no evidence of any bias at all."
_u3_producing_data,_m1_sampling,"For part B., let's look at each of the variables—Handed, Sex, Verbal, and Age—decide whether or not you believe the sample of business statistics students should be fairly representative of the larger population of all students in introductory statistics courses.","• Handed—should be representative. Business students shouldn't be any different from other students with respect to this variable.• Sex—could easily be biased. We expect fewer women in business than in the social or natural sciences.• Verbal—could easily be biased. Business students' SAT Verbal scores may tend to be lower, since there are likely to be fewer women, and women tend to do better on the verbal portion of the SAT (as the background to this problem suggests).• Age—should be representative. Regardless of major, students may take introductory statistics at about the same point in their college career (as suggested by the background)."
_u3_producing_data,_m1_sampling,"For part C., place your findings from steps 1-4 above in the text box below.","Step 1. The percentage of right-handed students is 87% in the population and it was 91% in the sample of business students; close enough to assert that there is no clear bias.Step 2. The percentage of females is 62% in the population and 52% in the sample of business students; apparently biased, in that females are under-represented in business statistics.Step 3. The SAT Verbal score averaged 589 for the population and 575 for the business students; the sample does seem to be biased, due to lower SAT Verbal scores for business students.Step 4. Finally, the median age for the population is 19.7 and our sample of business students had a median age of 19.5 years; apparently the business students may be considered an unbiased sample when it comes to age."
_u3_producing_data,_m2_design,"Comment on the displays you created. In particular, are the distributions of age, gender, and comp in the three treatment groups similar?","Everyone will get slightly different displays here, but they should all ""look"" about the same. Based upon the side-by-side boxplots, the distribution of ages and hours per week of computer use appears the same in each of the three treatment groups. Similarly, the table of conditional percents suggests that the distribution of the genders is about the same in all three treatment groups."
_u3_producing_data,_m2_design,"Based on your answer to the question above, does the randomization allow us to study the differences in user preferences between the three browsers, while eliminating the possible effects of the lurking variables age, gender, and hours per week of computer use? Comment below:","Our results suggest that the distributions of age, gender, and hours per week of computer use among the three treatments are about the same; therefore, the randomization was successful in balancing these three potential lurking variables among the three treatment groups. We can be fairly sure that any difference between the treatment groups that we find on the user tests of the software will be due to differences in the three software versions, rather than the lurking variables of age, gender, and hours per week of computer use."
_u4_probability,_m1_finding_probability,What is the sample space in this case? (Use B for boy and G for girl).,"The sample space (S) in this case includes all the possible ways (8) in which the gender of 3 children can occur:S={ (BBB), (BBG), (BGB), (GBB), (GGB), (GBG), (BGG), (GGG) }"
_u4_probability,_m1_finding_probability,"Since both genders are equally likely, and since the gender of one child does not affect the gender of another, in this scenario all 8 outcomes are equally likely (each having probability 1/8). Now we're getting to our event of interest: ""Having exactly two girls."" Let's denote this event by A. How many of the 8 outcomes satisfy (or make up) event A? List them.","There are three possible outcomes that make up (or satisfy) event A:(BGG), (GBG), (GGB)"
_u4_probability,_m1_finding_probability,"We now have all we need in order to find P(A). What is P(A), the probability of a family with three children having exactly two girls?","Since this scenario fits the special case in which all the possible outcomes are equally likely,"
_u4_probability,_m1_finding_probability,"Consider the following two events: A—the middle child is a girl C—the three children are of the same gender In the box below, answer the following: i. What are the possible outcomes for each of these events? ii. Do the events share any of the outcomes? (i.e., is there an overlap between the two events?) iii. Based on ii, are the events disjoint or not?","i. Here are the possible outcomes in each of the events:A={BGB, GGB, BGG, GGG}C={BBB, GGG}ii. The two events overlap; they have the outcome GGG in common.iii. Based on ii, the events are not disjoint since, they can happen together, if the couple ends up having three girls.Clickhere to see a visual representation of these two events."
_u4_probability,_m1_finding_probability,"Consider the following two events: A—exactly one of the three children is a girl C—exactly one of the three children is a boy. In the box below, answer the following: i. What are the possible outcomes for each of these events? ii. Do the events share any of the outcomes? (i.e., is there an overlap between the two events?) iii. Based on ii, are the events disjoint or not?","i. Here are the possible outcomes in each of the events:A={GBB, BGB, BBG}C={BGG, GBG, GGB}ii. The events do not overlap; they have no outcome in common.iii. Based on ii, the events are disjoint—they can never occur together.Clickhere to see a visual representation of these events:"
_u4_probability,_m1_finding_probability,Find P(D1) and P(D2). Write your answers in the text box below.,"To be a potential donor for patient 1, who has blood type A, a person must have blood type A or O. Therefore:P(D1) = P(A or O) = P(A) + P(O) = .42 + .44 = .86.Note that in this case we can safely use the addition rule for disjoint events since the events A and O are disjoint because we are presuming that a person cannot have more than one blood type.Similarly, to be a potential donor for patient 2, who has blood type B, a person must have blood type B or O. Therefore:P(D2) = P(B) + P(O) = .10 + .44 = .54."
_u4_probability,_m1_finding_probability,Are events D1 and D2 disjoint or overlapping?,"Events D1 and D2 are not disjoint, they are overlapping, sharing the outcome O. In other words, D1 and D2 can occur at the same time if a donor has blood type O. Clickhere to see a visual representation."
_u4_probability,_m1_finding_probability,"Try to (wrongly) apply the addition rule for disjoint events to P(D1 or D2), and explain why the answer you got proves that the addition rule for disjoint events does not work in cases in which the events are not disjoint.","If we wrongly apply the addition rule for disjoint events in order to find P(D1 or D2) we'll get:P(D1 or D2) = P(D1) + P(D2) = .86 + .54 = 1.4The answer is wrong for certain, since we got a probability that is greater than 1. This proves the danger of incorrectly applying the addition rule for disjoint events when it is not appropriate to do so."
_u4_probability,_m1_finding_probability,The probabilities in this table were calculated from data describing North America’s favorite car colors in 2003. (Source: DuPont Automotive as cited in money.cnn.com) What is the probability that a randomly chosen car will have one of the three most popular colors?,"Our answer: P(among the top three favorite colors) = P(Silver or White or Black).Since the three events, Silver, White and Black, are disjoint (since for the purposes of our example a car can have just one color), we can apply the Addition Rule for Disjoint Events (extended to three disjoint events) and get:P(among the top three colors) = P(Silver) + P(White) + P(Black) = 0.202 + 0.184 + 0.116 = 0.502.In other words, of the top 10 favorite car colors in the country, the three most popular colors comprised 50.2%."
_u4_probability,_m1_finding_probability,"Note that the only ""combination"" that was not covered by the 3 examples in the previous activity is the case in which 2 events are disjoint and independent. Can you think of an example for this case? If you think that no such example exists, explain why.","Hopefully you didn't spend too much time looking for an example ... because you won't find one.It is impossible for 2 events to be disjoint and independent. If they are disjoint, they MUST be dependent! Let me try to explain why. If 2 events A and B are disjoint, then by definition they cannot both occur. In other words, if we know that A occurred, then we know for certain that B cannot occur (since they are disjoint), which means that P(B) = 0. We therefore see that if 2 events are disjoint, the fact that one event occurs changes the probability that the other will occur to 0. This means that the 2 events are dependent."
_u4_probability,_m1_finding_probability,"According to pollingreport.com, a poll conducted by FOX News estimated that on the issue of abortion, roughly 44% of registered voters in the United States are pro-choice, and roughly 47% are pro-life (the remaining 9% are undecided). What is the probability that two simultaneously and randomly chosen registered voters are pro-life?","Let L1 be the event that person 1 is pro-life, and let L2 be the event that person 2 is pro-life.We need to find P(L1 and L2). Since the two were chosen at random, L1 and L2 are independent and we may use the Multiplication Rule for Independent Events:P(L1 and L2)=P(L1) * P(L2) = .47 * .47 = .2209."
_u4_probability,_m1_finding_probability,"A 2011 poll by the Pew Research Center for People and the Press estimated that 62% of U.S. adults favor the death penalty for persons convicted of murder, 31% oppose it, with the remaining 7% undecided. What is the probability that two randomly chosen U.S. adults support the death penalty for persons convicted of murder?","None Let A be the event that the first person supports the death penalty. Let B be the event that the second person supports the death penalty.We want to find P(A and B). Since the two people are chosen at random from a large population, A and B are independent and we can use the Multiplication Rule for Independent Events."
_u4_probability,_m1_finding_probability,"A Gallup poll reported by pollingreport.com estimated that roughly 71% of U.S. adults are in favor of the death penalty, and 26% are against (the remaining 3% are classified as ""no opinion""). According to the information reported in the polls in these two examples, what is the probability that a randomly chosen adult in the United States is pro-choice and is in favor of the death penalty?","Let C be the event that the person is pro-choice. Let D be the event that the person is in favor of the death penalty. We need to find P(C and D).In this case it would be inappropriate to use the Multiplication Rule, because C and D are not independent.It is reasonable to argue that a person whose views are more liberal than conservative would be more likely to be pro-choice and would also be less likely to be in favor of the death penalty. Therefore, a person who is pro-choice might be more likely to be against the death penalty. It would also be reasonable to argue that a person might be against the ending of life under any circumstances, so a pro-life stance could increase the likelihood of an anti-death-penalty stance. Either way, whether or not C occurs, affects the probability that D occurs, and thus C and D are not independent, so using our Multiplication Rule is inappropriate in this scenario."
_u4_probability,_m1_finding_probability,"In the 2000 presidential election, George Bush won 48% of the popular vote. In the 2004 presidential election, he won 51% of the popular vote. What is the probability that a randomly chosen voter voted for Bush in both elections?","Let A be the event that the person voted for Bush in 2000. Let B be the event that the person voted for Bush in 2004. The question asks us to determine P(A and B). We might be tempted to use the Multiplication Rule for Independent Events and write P(A and B) = P(A)*P(B) = 0.48*0.51 = 0.2448, but this would be incorrect because these events are not independent. If an individual voted for Bush in 2000, it is likely that the individual voted for him in 2004. So we are unable to answer the question with the information given."
_u4_probability,_m1_finding_probability,Recall: Three people are chosen at random. (Assume the choices are independent events). What is the probability that they all have the same blood type?,"To get all three the same, either the first and the second and the third are type O, or the first and the second and the third are type A, or the first and the second and the third are type B, or the first and the second and the third are type AB. The probability is:(.44 * .44 * .44) + (.42 * .42 * .42) + (.10 * .10 * .10) + (.04 * .04 * .04) = .160336About 16% of the time, three randomly chosen people would have the same blood type.Clickhere to see a visual representation."
_u4_probability,_m1_finding_probability,"Given the ""tactic"" of the student, what is P(R) and P(W)?","There are 4 possible answers and the student chooses one at random, and therefore:P(R) = 1/4 = .25, and P(W) = 3/4 = .75"
_u4_probability,_m1_finding_probability,"Since L is an event of the type ""at least one of ... ,"" it is much easier to find P(not L) and then use the Complement Rule. P(L) = 1 - P(not L). Write in words what the event ""not L"" is, and then find P(not L) using the Multiplication Rule.","""not L"" is the event ""the student gets none of the questions right"" or in other words, ""not L"" is the event that the student gets all the questions wrong. And so,P(not L) = P(getting all the questions wrong) = P(WWWWWWWWWW) = .75 * .75 * .75 * .75 * .75 * .75 * .75 * .75 * .75 * .75 = .0563."
_u4_probability,_m1_finding_probability,"Now, complete the problem by finding P(L)","Using the Complement Rule: P(L) = 1 - P(not L) = 1 - .0563 = .9437. Thus, it is quite likely that the student will get at least one of the questions right. (This also makes intuitive sense.)"
_u4_probability,_m1_finding_probability,Explain why we have enough information to find P(D and B); then find P(D and B).,"Since D and B are independent, we can use the Multiplication Rule for Independent Events (rule 5) as follows:P(D and B) = P(D) * P(B) = .95 * .4 = .38. In other words, if there is a fire, there is a 38% chance that both alarms will go off."
_u4_probability,_m1_finding_probability,"Now use the information you are given and the General Addition Rule to find the desired probability, P(smoke is detected).",P(smoke is detected) = P(D or B)= P(D) + P(B) - P(D and B)= 0.95 + 0.40 - 0.38= 0.97
_u4_probability,_m2_conditional_probability,"If the document has reached its destination on time through service A, what is the probability that it will also reach its destination through service B? When you answer, first write down the conditional probability we are looking for, and then find it using the definition of conditional probability: P(B | A) = P(A and B) / P(A).","We are given that the document has arrived on time using service A, and we are wondering what the probability is that it will also arrive on time using service B. We are therefore looking for P(B | A).Using the definition of conditional probability and the probability table, we get that:P(B | A) = P(A and B) / P(A) = .75/.9 = .833"
_u4_probability,_m2_conditional_probability,"If service A has failed to deliver the document on time, what is the probability that it has arrived on time using service B? (Again, as before, first write down the conditional probability that you are asked to find, and then apply the definition of conditional probability to find it.)","We are given that the document was not delivered on time using service A (not A), and we are wondering how likely is it that it was delivered on time using service B. We are therefore looking for P(B | not A).Using the definition of conditional probability and the probability table, we get that:P(B | not A) = P(not A and B) / P(not A) = .05/.1 = .50"
_u4_probability,_m2_conditional_probability,"If service A delivered the document on time, what is the probability that it was not delivered on time using service B?","We are given that the document was delivered on time using service A, and we are wondering how likely it is that it was not delivered on time using service B. We are therefore looking for P(not B | A). Using the definition of conditional probability and the probability table, we get that:P(not B | A) = P(A and not B) / P(A) = .15/.90 = .167Let's summarize the results we got:P(B | A) = .833P(B | not A) = .50P(not B | A) = .167Note that P(B | A) = 1 - P(not B | A), which tells us that P(not B | A) is the complement event of P(B | A). Students sometimes tend to get confused and think that the complement event of P(B | A) is P(B | not A). Please note the distinction. The Complement Rule extends to conditional probabilities only when you condition on the same event."
