Unit,Module,Sentences
_u1_intro_stats_online,x-oli-workbook_page,"In these labs, you will practice the process of a statistical investigation."
_u1_intro_stats_online,x-oli-workbook_page,You will investigate a research question using real data and technology.
_u1_intro_stats_online,x-oli-workbook_page, About This Course Many math classes are about following the rules.
_u1_intro_stats_online,x-oli-workbook_page,"You learn a set of steps for doing a specific type of problem, and then you repeat those same steps to answer new problems."
_u1_intro_stats_online,x-oli-workbook_page,The result is that you can answer questions correctly by following the steps without ever understanding why you are following them.
_u1_intro_stats_online,x-oli-workbook_page,This course is not like that.
_u1_intro_stats_online,x-oli-workbook_page,"In the words of one student: This course is designed to help students learn why and when specific rules are appropriate, not just how to use those rules."
_u1_intro_stats_online,x-oli-workbook_page,"In order to succeed in this course, you need to understand the concepts of statistics so you can decide for yourself about the right ways to solve problems."
_u1_intro_stats_online,x-oli-workbook_page,Mastering both the concepts and the methods means that this course is harder—but also more useful—than a typical math class.
_u1_intro_stats_online,x-oli-workbook_page,Many math classes are about following the rules.
_u1_intro_stats_online,x-oli-workbook_page,"You learn a set of steps for doing a specific type of problem, and then you repeat those same steps to answer new problems."
_u1_intro_stats_online,x-oli-workbook_page,The result is that you can answer questions correctly by following the steps without ever understanding why you are following them.
_u1_intro_stats_online,x-oli-workbook_page,This course is not like that.
_u1_intro_stats_online,x-oli-workbook_page,"In the words of one student: This course is designed to help students learn why and when specific rules are appropriate, not just how to use those rules."
_u1_intro_stats_online,x-oli-workbook_page,"In order to succeed in this course, you need to understand the concepts of statistics so you can decide for yourself about the right ways to solve problems."
_u1_intro_stats_online,x-oli-workbook_page,Mastering both the concepts and the methods means that this course is harder—but also more useful—than a typical math class.
_u1_intro_stats_online,x-oli-workbook_page,"In a nutshell, what statistics is all about is converting data into useful information."
_u1_intro_stats_online,x-oli-workbook_page,"Statistics is therefore a process in which we Collect data, Summarize data, and Interpret data."
_u1_intro_stats_online,x-oli-workbook_page,"To really understand how this process works, we need to put it in a context."
_u1_intro_stats_online,x-oli-workbook_page,We will do that by introducing one of the central ideas of this course—the Big Picture of Statistics.
_u1_intro_stats_online,x-oli-workbook_page,We will introduce the Big Picture by building it gradually and explaining each step.
_u1_intro_stats_online,x-oli-workbook_page,"At the end of the introductory explanation, once you have the full Big Picture in front of you, we will show it again using a concrete example."
_u1_intro_stats_online,x-oli-workbook_page,The process of statistics starts when we identify what group we want to study or learn something about.
_u1_intro_stats_online,x-oli-workbook_page,We call this group the population.
_u1_intro_stats_online,x-oli-workbook_page,"Note that the word population here (and in the entire course) does not refer only to people; it is used in the broader statistical sense to refer not only to people, but also to animals, objects, and so on."
_u1_intro_stats_online,x-oli-workbook_page,"For example, we might be interested in The opinions of the population of U.S. adults about the death penalty How the population of mice react to a certain chemical The average price of the population of all one-bedroom apartments in a certain city Population, then, is the entire group that is the target of our interest: In most cases, the population is so large that, as much as we want to, there is absolutely no way we can study all of it (imagine trying to get the opinions of all U.S. adults about the death penalty)."
_u1_intro_stats_online,x-oli-workbook_page,"A more practical approach would be to examine and collect data only from a subgroup of the population, which we call a sample."
_u1_intro_stats_online,x-oli-workbook_page,"We call this first step, which involves choosing a sample and collecting data from it, producing data.It should be noted that since, for practical reasons, we need to compromise and examine only a sub-group of the population rather than the whole population, we should make an effort to choose a sample in such a way that it will represent the population well."
_u1_intro_stats_online,x-oli-workbook_page,"For example, if we choose a sample from the population of U.S. adults, and ask their opinions about the death penalty, we do not want our sample to consist of only Republicans or only Democrats."
_u1_intro_stats_online,x-oli-workbook_page,"Once the data have been collected, what we have is a long list of answers to questions, or numbers, and in order to explore and make sense of the data, we need to summarize that list in a meaningful way."
_u1_intro_stats_online,x-oli-workbook_page,"This second step, which consists of summarizing the collected data, is called exploratory data analysis.Now we've obtained the sample results and summarized them, but we are not done."
_u1_intro_stats_online,x-oli-workbook_page,"Remember that our goal is to study the population, so what we want is to be able to draw conclusions about the population based on the sample results."
_u1_intro_stats_online,x-oli-workbook_page,"Before we can do so, we need to look at how the sample we're using may differ from the population as a whole, so that we can factor that into our analysis."
_u1_intro_stats_online,x-oli-workbook_page,"To examine this difference, we use probability."
_u1_intro_stats_online,x-oli-workbook_page,"In essence, probability is the ""machinery"" that allows us to draw conclusions about the population based on the data collected about the sample."
_u1_intro_stats_online,x-oli-workbook_page,"Finally, we can use what we've discovered about our sample to draw conclusions about our population."
_u1_intro_stats_online,x-oli-workbook_page,We call this final step in the process inference.This is the Big Picture of statistics.
_u1_intro_stats_online,x-oli-workbook_page,"At the end of April 2005, a poll was conducted (by ABC News and the Washington Post) for the purpose of learning the opinions of U.S. adults about the death penalty."
_u1_intro_stats_online,x-oli-workbook_page,1.
_u1_intro_stats_online,x-oli-workbook_page,"Producing Data: A (representative) sample of 1,082 U.S. adults was chosen, and each adult was asked whether he or she favored or opposed the death penalty."
_u1_intro_stats_online,x-oli-workbook_page,2.
_u1_intro_stats_online,x-oli-workbook_page,"Exploratory Data Analysis (EDA): The collected data were summarized, and it was found that 65% of the sampled adults favor the death penalty for persons convicted of murder."
_u1_intro_stats_online,x-oli-workbook_page,3 and 4.
_u1_intro_stats_online,x-oli-workbook_page,"Probability and Inference: Based on the sample result (of 65% favoring the death penalty) and our knowledge of probability, it was concluded (with 95% confidence) that the percentage of those who favor the death penalty in the population is within 3% of what was obtained in the sample (i.e., between 62% and 68%)."
_u1_intro_stats_online,x-oli-workbook_page,The following figure summarizes the example: Course Structure The structure of this entire course is based on the Big Picture.
_u1_intro_stats_online,x-oli-workbook_page,The course has one unit for each of the steps in the Big Picture.
_u1_intro_stats_online,x-oli-workbook_page,"As the figure below shows, we start this course with EDA (even though it is second in the process of statistics), continue to discuss producing data, then proceed to probability, so that at the end we’ll be able to discuss inference."
_u1_intro_stats_online,x-oli-workbook_page,The following figure summarizes the structure of the course.
_u1_intro_stats_online,x-oli-workbook_page,"As you’ll see, the Big Picture is the basis upon which the entire course is built, both conceptually and structurally."
_u1_intro_stats_online,x-oli-workbook_page,The structure of this entire course is based on the Big Picture.
_u1_intro_stats_online,x-oli-workbook_page,The course has one unit for each of the steps in the Big Picture.
_u1_intro_stats_online,x-oli-workbook_page,"As the figure below shows, we start this course with EDA (even though it is second in the process of statistics), continue to discuss producing data, then proceed to probability, so that at the end we’ll be able to discuss inference."
_u1_intro_stats_online,x-oli-workbook_page," Idea One of the main design principles behind Statistics Online is that, wherever possible, content is presented to the student in many different formats: Text Graphical slides with audio overlay Interactive exercises Intelligent tutoring system (StatTutor) Small inline tutors (""Mini-tutors"") Navigation There are several ways to navigate through the course: Menu on the left side of page Navigation bars at the top and bottom of each page Learning Opportunities/Activities Sprinkled throughout the course are buttons that represent additional learning opportunities or activities for the student: Module Objectives At any point during the course, from any page of the course, the student has access to the learning objectives for the current module by clicking on the objectives button in the top or bottom navigation bar."
_u1_intro_stats_online,x-oli-workbook_page,"Learn By Doing Periodically, students are given opportunities to practice what they have learned."
_u1_intro_stats_online,x-oli-workbook_page,These activities typically contain instructions for performing an activity in a statistical package and then ask the student questions about the activity.
_u1_intro_stats_online,x-oli-workbook_page,Students can then compare their own answers with answers that the course author would have given.
_u1_intro_stats_online,x-oli-workbook_page,Did I Get This?
_u1_intro_stats_online,x-oli-workbook_page,"Throughout the course, there are opportunities for students to take self-assessments to gauge their understanding of the content."
_u1_intro_stats_online,x-oli-workbook_page,"These self-assessments do not count towards the students' grades, and can be taken as many times as desired."
_u1_intro_stats_online,x-oli-workbook_page,Many Students Wonder...
_u1_intro_stats_online,x-oli-workbook_page,This button will launch a page that contains frequently asked questions.
_u1_intro_stats_online,x-oli-workbook_page,"These questions generally address common misconceptions that students have, or clarify points that have been made in the main page."
_u1_intro_stats_online,x-oli-workbook_page,"Sprinkled throughout the course are buttons that represent additional learning opportunities or activities for the student: Module Objectives At any point during the course, from any page of the course, the student has access to the learning objectives for the current module by clicking on the objectives button in the top or bottom navigation bar."
_u1_intro_stats_online,x-oli-workbook_page,"Learn By Doing Periodically, students are given opportunities to practice what they have learned."
_u1_intro_stats_online,x-oli-workbook_page,These activities typically contain instructions for performing an activity in a statistical package and then ask the student questions about the activity.
_u1_intro_stats_online,x-oli-workbook_page,Students can then compare their own answers with answers that the course author would have given.
_u1_intro_stats_online,x-oli-workbook_page,Did I Get This?
_u1_intro_stats_online,x-oli-workbook_page,"Throughout the course, there are opportunities for students to take self-assessments to gauge their understanding of the content."
_u1_intro_stats_online,x-oli-workbook_page,"These self-assessments do not count towards the students' grades, and can be taken as many times as desired."
_u1_intro_stats_online,x-oli-workbook_page,Many Students Wonder...
_u1_intro_stats_online,x-oli-workbook_page,This button will launch a page that contains frequently asked questions.
_u1_intro_stats_online,x-oli-workbook_page,"These questions generally address common misconceptions that students have, or clarify points that have been made in the main page."
_u1_intro_stats_online,x-oli-workbook_page,"Periodically, students are given opportunities to practice what they have learned."
_u1_intro_stats_online,x-oli-workbook_page,These activities typically contain instructions for performing an activity in a statistical package and then ask the student questions about the activity.
_u1_intro_stats_online,x-oli-workbook_page,"Throughout the course, there are opportunities for students to take self-assessments to gauge their understanding of the content."
_u1_intro_stats_online,x-oli-workbook_page,This button will launch a page that contains frequently asked questions.
_u2_summarizing_data,_m1_examining_distributions, Constructing a Boxplot The central box spans from Q1 to Q3.
_u2_summarizing_data,_m1_examining_distributions,"In our example, the box spans from 32 to 41.5."
_u2_summarizing_data,_m1_examining_distributions,Note that the width of the box has no meaning.
_u2_summarizing_data,_m1_examining_distributions,"A line in the box marks the median M, which in our case is 35."
_u2_summarizing_data,_m1_examining_distributions,Lines extend from the edges of the box to the smallest and largest observations that were not classified as suspected outliers (using the 1.5xIQR criterion).
_u2_summarizing_data,_m1_examining_distributions,"In our example, we have no low outliers, so the bottom line goes down to the smallest observation, which is 21."
_u2_summarizing_data,_m1_examining_distributions,"Since we have three high outliers (61,74, and 80), the top line extends only up to 49, which is the largest observation that has not been flagged as an outlier."
_u2_summarizing_data,_m1_examining_distributions,outliers are marked with asterisks (*).
_u2_summarizing_data,_m1_examining_distributions, The central box spans from Q1 to Q3.
_u2_summarizing_data,_m1_examining_distributions,"In our example, the box spans from 32 to 41.5."
_u2_summarizing_data,_m1_examining_distributions,Note that the width of the box has no meaning.
_u2_summarizing_data,_m1_examining_distributions,"A line in the box marks the median M, which in our case is 35."
_u2_summarizing_data,_m1_examining_distributions,Lines extend from the edges of the box to the smallest and largest observations that were not classified as suspected outliers (using the 1.5xIQR criterion).
_u2_summarizing_data,_m1_examining_distributions,"In our example, we have no low outliers, so the bottom line goes down to the smallest observation, which is 21."
_u2_summarizing_data,_m1_examining_distributions,"Since we have three high outliers (61,74, and 80), the top line extends only up to 49, which is the largest observation that has not been flagged as an outlier."
_u2_summarizing_data,_m1_examining_distributions,outliers are marked with asterisks (*).
_u2_summarizing_data,_m1_examining_distributions," Introduction Before we move on to the third measure of spread (standard deviation), we'll summarize what we've learned so far about measuring spread and use it to introduce another graphical display of the distribution of a quantitative variable, the boxplot."
_u2_summarizing_data,_m1_examining_distributions,"The Five Number Summary So far, in our discussion about measures of spread, the key players were: the extremes (min and Max), which provide the range covered by all the data; and the quartiles (Q1, M and Q3), which together provide the IQR, the range covered by the middle 50% of the data."
_u2_summarizing_data,_m1_examining_distributions,"The combination of all five numbers (min, Q1, M, Q3, Max) is called the five number summary, and provides a quick numerical description of both the center and spread of a distribution."
_u2_summarizing_data,_m1_examining_distributions,"Best Actress Oscar Winners We will continue with the Best Actress Oscar winners example (To see the data, click here.)"
_u2_summarizing_data,_m1_examining_distributions,"So far, in our discussion about measures of spread, the key players were: the extremes (min and Max), which provide the range covered by all the data; and the quartiles (Q1, M and Q3), which together provide the IQR, the range covered by the middle 50% of the data."
_u2_summarizing_data,_m1_examining_distributions,"The combination of all five numbers (min, Q1, M, Q3, Max) is called the five number summary, and provides a quick numerical description of both the center and spread of a distribution."
_u2_summarizing_data,_m1_examining_distributions,"Best Actress Oscar Winners We will continue with the Best Actress Oscar winners example (To see the data, click here.)"
_u2_summarizing_data,_m1_examining_distributions,Statistic San Francisco Pittsburgh
_u2_summarizing_data,_m1_examining_distributions,min 56.3 33.7
_u2_summarizing_data,_m1_examining_distributions,Q1 60.2 41.2
_u2_summarizing_data,_m1_examining_distributions,Median 62.7 61.4
_u2_summarizing_data,_m1_examining_distributions,Q3 65.35 77.75
_u2_summarizing_data,_m1_examining_distributions,Max 68.7 82.6
_u2_summarizing_data,_m1_examining_distributions," Side-By-Side (Comparative) Boxplots As we learned in the beginning of this module, the distribution of a quantitative variable is best represented graphically by a histogram."
_u2_summarizing_data,_m1_examining_distributions,Boxplots are most useful when presented side-by-side for comparing and contrasting distributions from two or more groups.
_u2_summarizing_data,_m1_examining_distributions,Best Actor/Actress Oscar Winners So far we have examined the age distributions of Oscar winners for males and females separately.
_u2_summarizing_data,_m1_examining_distributions,It will be interesting to compare the age distributions of actors and actresses who won best acting Oscars.
_u2_summarizing_data,_m1_examining_distributions,To do that we will look at side-by-side boxplots of the age distributions by gender.
_u2_summarizing_data,_m1_examining_distributions,Recall also that we found the five-number summary and means for both distributions.
_u2_summarizing_data,_m1_examining_distributions,"For the Best Actress dataset, we did the calculations by hand."
_u2_summarizing_data,_m1_examining_distributions,"For the Best Actor dataset, we used statistical software, and here are the results we got: StatCrunch Actors: min = 31, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76 Actresses: min = 21, Q1 = 30.5, M = 34.5, Q3 = 42, Max = 80 Based on the graph and numerical measures, we can make the following comparison between the two distributions: Center: The graph reveals that the age distribution of the males is higher than the females' age distribution."
_u2_summarizing_data,_m1_examining_distributions,This is supported by the numerical measures.
_u2_summarizing_data,_m1_examining_distributions,The median age for females (34.5) is lower than for the males (43.5).
_u2_summarizing_data,_m1_examining_distributions,"Actually, it should be noted that even the third quartile of the females' distribution (42) is lower than the median age for males."
_u2_summarizing_data,_m1_examining_distributions,"We therefore conclude that in general, actresses win the Best Actress Oscar at a younger age than actors do."
_u2_summarizing_data,_m1_examining_distributions,"Spread: Judging by the range of the data, there is much more variability in the females' distribution (range = 59) than there is in the males' distribution (range = 47)."
_u2_summarizing_data,_m1_examining_distributions,"On the other hand, if we look at the IQR, which measures the variability only among the middle 50% of the distribution, we see slightly more spread in the ages of males (IQR = 12.5) than females (IQR = 11.5)."
_u2_summarizing_data,_m1_examining_distributions,"We conclude that among all the winners, the actors' ages are more alike than the actresses' ages."
_u2_summarizing_data,_m1_examining_distributions,"However, the middle 50% of the age distribution of actresses is more homogeneous than the actors' age distribution."
_u2_summarizing_data,_m1_examining_distributions,Outliers: We see that we have outliers in both distributions.
_u2_summarizing_data,_m1_examining_distributions,"There is only one high outlier in the actors' distribution (76, Henry Fonda, On Golden Pond), compared with three high outliers in the actresses' distribution."
_u2_summarizing_data,_m1_examining_distributions,"R Actors: min = 31, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76 Actresses: min = 21, Q1 = 30.5, M = 34.5, Q3 = 42, Max = 80 Based on the graph and numerical measures, we can make the following comparison between the two distributions: Center: The graph reveals that the age distribution of the males is higher than the females' age distribution."
_u2_summarizing_data,_m1_examining_distributions,This is supported by the numerical measures.
_u2_summarizing_data,_m1_examining_distributions,The median age for females (34.5) is lower than for the males (43.5).
_u2_summarizing_data,_m1_examining_distributions,"Actually, it should be noted that even the third quartile of the females' distribution (42) is lower than the median age for males."
_u2_summarizing_data,_m1_examining_distributions,"We therefore conclude that in general, actresses win the Best Actress Oscar at a younger age than actors do."
_u2_summarizing_data,_m1_examining_distributions,"Spread: Judging by the range of the data, there is much more variability in the females' distribution (range = 59) than there is in the males' distribution (range = 47)."
_u2_summarizing_data,_m1_examining_distributions,"On the other hand, if we look at the IQR, which measures the variability only among the middle 50% of the distribution, we see slightly more spread in the ages of males (IQR = 12.5) than females (IQR = 11.5)."
_u2_summarizing_data,_m1_examining_distributions,"We conclude that among all the winners, the actors' ages are more alike than the actresses' ages."
_u2_summarizing_data,_m1_examining_distributions,"However, the middle 50% of the age distribution of actresses is more homogeneous than the actors' age distribution."
_u2_summarizing_data,_m1_examining_distributions,Outliers: We see that we have outliers in both distributions.
_u2_summarizing_data,_m1_examining_distributions,"There is only one high outlier in the actors' distribution (76, Henry Fonda, On Golden Pond), compared with three high outliers in the actresses' distribution."
_u2_summarizing_data,_m1_examining_distributions,"Minitab Actors: min = 31, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76 Actresses: min = 21, Q1 = 30.5, M = 34.5, Q3 = 42, Max = 80 Based on the graph and numerical measures, we can make the following comparison between the two distributions: Center: The graph reveals that the age distribution of the males is higher than the females' age distribution."
_u2_summarizing_data,_m1_examining_distributions,This is supported by the numerical measures.
_u2_summarizing_data,_m1_examining_distributions,The median age for females (34.5) is lower than for the males (43.5).
_u2_summarizing_data,_m1_examining_distributions,"Actually, it should be noted that even the third quartile of the females' distribution (42) is lower than the median age for males."
_u2_summarizing_data,_m1_examining_distributions,"We therefore conclude that in general, actresses win the Best Actress Oscar at a younger age than actors do."
_u2_summarizing_data,_m1_examining_distributions,"Spread: Judging by the range of the data, there is much more variability in the females' distribution (range = 59) than there is in the males' distribution (range = 47)."
_u2_summarizing_data,_m1_examining_distributions,"On the other hand, if we look at the IQR, which measures the variability only among the middle 50% of the distribution, we see slightly more spread in the ages of males (IQR = 12.5) than females (IQR = 11.5)."
_u2_summarizing_data,_m1_examining_distributions,"We conclude that among all the winners, the actors' ages are more alike than the actresses' ages."
_u2_summarizing_data,_m1_examining_distributions,"However, the middle 50% of the age distribution of actresses is more homogeneous than the actors' age distribution."
_u2_summarizing_data,_m1_examining_distributions,Outliers: We see that we have outliers in both distributions.
_u2_summarizing_data,_m1_examining_distributions,"There is only one high outlier in the actors' distribution (76, Henry Fonda, On Golden Pond), compared with three high outliers in the actresses' distribution."
_u2_summarizing_data,_m1_examining_distributions,"Excel 2013 and 2016 Instructions Actors: min = 31, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76 Actresses: min = 21, Q1 = 30.5, M = 34.5, Q3 = 42, Max = 80 Based on the graph and numerical measures, we can make the following comparison between the two distributions: Center: The graph reveals that the age distribution of the males is higher than the females' age distribution."
_u2_summarizing_data,_m1_examining_distributions,This is supported by the numerical measures.
_u2_summarizing_data,_m1_examining_distributions,The median age for females (34.5) is lower than for the males (43.5).
_u2_summarizing_data,_m1_examining_distributions,"Actually, it should be noted that even the third quartile of the females' distribution (42) is lower than the median age for males."
_u2_summarizing_data,_m1_examining_distributions,"We therefore conclude that in general, actresses win the Best Actress Oscar at a younger age than actors do."
_u2_summarizing_data,_m1_examining_distributions,"Spread: Judging by the range of the data, there is much more variability in the females' distribution (range = 59) than there is in the males' distribution (range = 47)."
_u2_summarizing_data,_m1_examining_distributions,"On the other hand, if we look at the IQR, which measures the variability only among the middle 50% of the distribution, we see slightly more spread in the ages of males (IQR = 12.5) than females (IQR = 11.5)."
_u2_summarizing_data,_m1_examining_distributions,"We conclude that among all the winners, the actors' ages are more alike than the actresses' ages."
_u2_summarizing_data,_m1_examining_distributions,"However, the middle 50% of the age distribution of actresses is more homogeneous than the actors' age distribution."
_u2_summarizing_data,_m1_examining_distributions,Outliers: We see that we have outliers in both distributions.
_u2_summarizing_data,_m1_examining_distributions,"There is only one high outlier in the actors' distribution (76, Henry Fonda, On Golden Pond), compared with three high outliers in the actresses' distribution."
_u2_summarizing_data,_m1_examining_distributions,"TI Calculator Actors: min = 31, Q1 = 38, M = 43.5, Q3 = 50.5, Max = 76 Actresses: min = 21, Q1 = 30.5, M = 34.5, Q3 = 42, Max = 80 Based on the graph and numerical measures, we can make the following comparison between the two distributions: Center: The graph reveals that the age distribution of the males is higher than the females' age distribution."
_u2_summarizing_data,_m1_examining_distributions,This is supported by the numerical measures.
_u2_summarizing_data,_m1_examining_distributions,The median age for females (34.5) is lower than for the males (43.5).
_u2_summarizing_data,_m1_examining_distributions,"Actually, it should be noted that even the third quartile of the females' distribution (42) is lower than the median age for males."
_u2_summarizing_data,_m1_examining_distributions,"We therefore conclude that in general, actresses win the Best Actress Oscar at a younger age than actors do."
_u2_summarizing_data,_m1_examining_distributions,"Spread: Judging by the range of the data, there is much more variability in the females' distribution (range = 59) than there is in the males' distribution (range = 47)."
_u2_summarizing_data,_m1_examining_distributions,"On the other hand, if we look at the IQR, which measures the variability only among the middle 50% of the distribution, we see slightly more spread in the ages of males (IQR = 12.5) than females (IQR = 11.5)."
_u2_summarizing_data,_m1_examining_distributions,"We conclude that among all the winners, the actors' ages are more alike than the actresses' ages."
_u2_summarizing_data,_m1_examining_distributions,"However, the middle 50% of the age distribution of actresses is more homogeneous than the actors' age distribution."
_u2_summarizing_data,_m1_examining_distributions,Outliers: We see that we have outliers in both distributions.
_u2_summarizing_data,_m1_examining_distributions,"There is only one high outlier in the actors' distribution (76, Henry Fonda, On Golden Pond), compared with three high outliers in the actresses' distribution."
_u2_summarizing_data,_m1_examining_distributions,"Temperature of Pittsburgh vs. San Francisco In order to compare the average high temperatures of Pittsburgh to those in San Francisco we will look at the following side-by-side boxplots, and supplement the graph with the descriptive statistics of each of the two distributions."
_u2_summarizing_data,_m1_examining_distributions,"Statistic San Francisco Pittsburgh min 56.3 33.7 Q1 60.2 41.2 Median 62.7 61.4 Q3 65.35 77.75 Max 68.7 82.6 When looking at the graph, the similarities and differences between the two distributions are striking."
_u2_summarizing_data,_m1_examining_distributions,"Both distributions have roughly the same center (medians are 61.4 for Pitt, and 62.7 for San Francisco)."
_u2_summarizing_data,_m1_examining_distributions,"However, the temperatures in Pittsburgh have a much larger variability than the temperatures in San Francisco (Range: 49 vs. 12."
_u2_summarizing_data,_m1_examining_distributions,IQR: 36.5 vs. 5).
_u2_summarizing_data,_m1_examining_distributions,"The practical interpretation of the results we got is that the weather in San Francisco is much more consistent than the weather in Pittsburgh, which varies a lot during the year."
_u2_summarizing_data,_m1_examining_distributions,"Also, because the temperatures in San Francisco vary so little during the year, knowing that the median temperature is around 63 is actually very informative."
_u2_summarizing_data,_m1_examining_distributions,"On the other hand, knowing that the median temperature in Pittsburgh is around 61 is practically useless, since temperatures vary so much during the year, and can get much warmer or much colder."
_u2_summarizing_data,_m1_examining_distributions,"Note that this example provides more intuition about variability by interpreting small variability as consistency, and large variability as lack of consistency."
_u2_summarizing_data,_m1_examining_distributions,"Also, through this example we learned that the center of the distribution is more meaningful as a typical value for the distribution when there is little variability (or, as statisticians say, little ""noise"") around it."
_u2_summarizing_data,_m1_examining_distributions,"When there is large variability, the center loses its practical meaning as a typical value."
_u2_summarizing_data,_m1_examining_distributions,"Let's Summarize The five-number summary of a distribution consists of the median (M), the two quartiles (Q1, Q3) and the extremes (min, Max)."
_u2_summarizing_data,_m1_examining_distributions,The five-number summary provides a complete numerical description of a distribution.
_u2_summarizing_data,_m1_examining_distributions,"The median describes the center, and the extremes (which give the range) and the quartiles (which give the IQR) describe the spread."
_u2_summarizing_data,_m1_examining_distributions,The boxplot graphically represents the distribution of a quantitative variable by visually displaying the five number summary and any observation that was classified as a suspected outlier using the 1.5 (IQR) criterion.
_u2_summarizing_data,_m1_examining_distributions,"As we learned in the beginning of this module, the distribution of a quantitative variable is best represented graphically by a histogram."
_u2_summarizing_data,_m1_examining_distributions," The five-number summary of a distribution consists of the median (M), the two quartiles (Q1, Q3) and the extremes (min, Max)."
_u2_summarizing_data,_m1_examining_distributions,The five-number summary provides a complete numerical description of a distribution.
_u2_summarizing_data,_m1_examining_distributions,"The median describes the center, and the extremes (which give the range) and the quartiles (which give the IQR) describe the spread."
_u2_summarizing_data,_m1_examining_distributions,The boxplot graphically represents the distribution of a quantitative variable by visually displaying the five number summary and any observation that was classified as a suspected outlier using the 1.5 (IQR) criterion.
_u2_summarizing_data,_m1_examining_distributions," Introduction So far, we have introduced two measures of spread; the range (covered by all the data) and the inter-quartile range (IQR), which looks at the range covered by the middle 50% of the distribution."
_u2_summarizing_data,_m1_examining_distributions,We also noted that the IQR should be paired as a measure of spread with the median as a measure of center.
_u2_summarizing_data,_m1_examining_distributions,"We now move on to another measure of spread, the standard deviation, which quantifies the spread of a distribution in a completely different way."
_u2_summarizing_data,_m1_examining_distributions,"Idea The idea behind the standard deviation is to quantify the spread of a distribution by measuring how far the observations are from their mean, ."
_u2_summarizing_data,_m1_examining_distributions,"The standard deviation gives the average (or typical distance) between a data point and the mean, x ¯ ."
_u2_summarizing_data,_m1_examining_distributions,"x ¯ Notation There are many notations for the standard deviation: SD, s, Sd, StDev."
_u2_summarizing_data,_m1_examining_distributions,"Here, we'll use SD as an abbreviation for standard deviation, and use s as the symbol."
_u2_summarizing_data,_m1_examining_distributions,"Calculation In order to get a better understanding of the standard deviation, it would be useful to see an example of how it is calculated."
_u2_summarizing_data,_m1_examining_distributions,"In practice, we will use a computer to do the calculation."
_u2_summarizing_data,_m1_examining_distributions,"Video Store Customers The following are the number of customers who entered a video store in 8 consecutive hours: 7, 9, 5, 13, 3, 11, 15, 9 To find the standard deviation of the number of hourly customers: Find the mean, of your data: x ¯ 7 + 9 + 5 + ."
_u2_summarizing_data,_m1_examining_distributions,.
_u2_summarizing_data,_m1_examining_distributions,.
_u2_summarizing_data,_m1_examining_distributions,"+ 9 8 = 9 Find the deviations from the mean: the difference between each observation and the mean (7 - 9), (9 - 9), (5 - 9), (13 - 9), (3 - 9), (11 - 9), (15 - 9), (9 - 9) Since the standard deviation is the average (typical) distance between the data points and their mean, it would make sense to average the deviations we got."
_u2_summarizing_data,_m1_examining_distributions,"Note, however, that the sum of the deviations from the mean, -2, 0, -4, 4, -6, 2, 6, 0 is 0 (add them up and see for yourself)."
