Unit,Module,Question,Question ID,Blank,Choices,Correct Answer
_u2_summarizing_data,_m1_examining_distributions,The data from the above 9 students forms a _________(B) distribution.,249284029,B,"{'one': 'unimodal', 'two': 'bimodal', 'three': 'multimodal'}",unimodal
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 15 students spend on the computer on a typical day: 1 1 2 3 6 7 5 5 5 8 8 8 11 12 15 The mode number of hours spent on the computer is: _________(A),6341371536,A,"{'one': '1', 'two': '5', 'three': '8', 'four': '5 and 8', 'fifth': 'Unable to determine'}",5 and 8
_u2_summarizing_data,_m1_examining_distributions,The data from the above 15 students forms a _________(B) distribution.,63586092,B,"{'one': 'unimodal', 'two': 'bimodal', 'three': 'multimodal'}",bimodal
_u2_summarizing_data,_m2_examining_relationships,The number of females in our sample who feel that they are underweight is _________(A).The number of males in our sample who feel that they are about right is _________(B).The total number of females in our sample is _________(C).The total number of students who feel they are overweight is _________(D).,2500448227,A,"{'one': '37', 'two': '110', 'three': '163', 'four': '760'}",37
_u2_summarizing_data,_m2_examining_relationships,The number of females in our sample who feel that they are underweight is _________(A).The number of males in our sample who feel that they are about right is _________(B).The total number of females in our sample is _________(C).The total number of students who feel they are overweight is _________(D).,2500448227,B,"{'one': '295', 'two': '440', 'three': '560', 'four': '855'}",295
_u2_summarizing_data,_m2_examining_relationships,The number of females in our sample who feel that they are underweight is _________(A).The number of males in our sample who feel that they are about right is _________(B).The total number of females in our sample is _________(C).The total number of students who feel they are overweight is _________(D).,2500448227,C,"{'one': '440', 'two': '560', 'three': '760', 'four': '1200'}",760
_u2_summarizing_data,_m2_examining_relationships,The number of females in our sample who feel that they are underweight is _________(A).The number of males in our sample who feel that they are about right is _________(B).The total number of females in our sample is _________(C).The total number of students who feel they are overweight is _________(D).,2500448227,D,"{'one': '110', 'two': '163', 'three': '235', 'four': '1200'}",235
_u2_summarizing_data,_m2_examining_relationships,The results suggest that the proportion of males who are happy with their body weight is _________(A) than among female students. Females who are not happy with their body weight more often feel they are _________(B). Males who are not happy with their body weight feel they are overweight _________(C) they feel they are underweight.,8931357861,A,"{'one': 'slightly greater', 'two': 'slightly less'}",slightly less
_u2_summarizing_data,_m2_examining_relationships,The results suggest that the proportion of males who are happy with their body weight is _________(A) than among female students. Females who are not happy with their body weight more often feel they are _________(B). Males who are not happy with their body weight feel they are overweight _________(C) they feel they are underweight.,8931357861,B,"{'one': 'about right', 'two': 'overweight', 'three': 'underweight'}",overweight
_u2_summarizing_data,_m2_examining_relationships,The results suggest that the proportion of males who are happy with their body weight is _________(A) than among female students. Females who are not happy with their body weight more often feel they are _________(B). Males who are not happy with their body weight feel they are overweight _________(C) they feel they are underweight.,8931357861,C,"{'one': 'about as often as', 'two': 'much more often than', 'three': 'much less often than'}",about as often as
_u2_summarizing_data,_m2_examining_relationships,"We would like to learn about the relationship between the two categorical variables ""parents' smoking"" and ""students' smoking."" More specifically, since we want to explore whether parents' smoking habits affect their children's smoking habits, the explanatory variable is _________(A) and the response variable is _________(B).",2807888985,A,"{'one': ""students' smoking"", 'two': ""parents' smoking""}",parents' smoking
_u2_summarizing_data,_m2_examining_relationships,"We would like to learn about the relationship between the two categorical variables ""parents' smoking"" and ""students' smoking."" More specifically, since we want to explore whether parents' smoking habits affect their children's smoking habits, the explanatory variable is _________(A) and the response variable is _________(B).",2807888985,B,"{'one': ""students' smoking"", 'two': ""parents' smoking""}",students' smoking
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",4680900574,A,"{'one': 'explanatory', 'two': 'response'}",response
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",4680900574,B,"{'one': 'explanatory', 'two': 'response'}",explanatory
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",4680900574,C,"{'one': 'explanatory', 'two': 'response'}",explanatory
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",4680900574,D,"{'one': 'explanatory', 'two': 'response'}",response
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",4680900574,E,"{'one': 'explanatory', 'two': 'response'}",explanatory
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",4680900574,F,"{'one': 'explanatory', 'two': 'response'}",response
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",4680900574,G,"{'one': 'explanatory', 'two': 'response'}",response
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",4680900574,H,"{'one': 'explanatory', 'two': 'response'}",explanatory
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,A,"{'one': 'categorical', 'two': 'quantitative'}",quantitative
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,B,"{'one': 'categorical', 'two': 'quantitative'}",categorical
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,C,"{'one': 'Case C→Q', 'two': 'Case C→C', 'three': 'Case Q→Q', 'four': 'Case Q→C'}",Case C→Q
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,D,"{'one': 'categorical', 'two': 'quantitative'}",categorical
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,E,"{'one': 'categorical', 'two': 'quantitative'}",categorical
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,F,"{'one': 'Case C→Q', 'two': 'Case C→C', 'three': 'Case Q→Q', 'four': 'Case Q→C'}",Case C→C
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,G,"{'one': 'categorical', 'two': 'quantitative'}",quantitative
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,H,"{'one': 'categorical', 'two': 'quantitative'}",quantitative
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,I,"{'one': 'Case C→Q', 'two': 'Case C→C', 'three': 'Case Q→Q', 'four': 'Case Q→C'}",Case Q→Q
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,J,"{'one': 'categorical', 'two': 'quantitative'}",categorical
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,K,"{'one': 'categorical', 'two': 'quantitative'}",quantitative
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,8750238419,L,"{'one': 'Case C→Q', 'two': 'Case C→C', 'three': 'Case Q→Q', 'four': 'Case Q→C'}",Case Q→C
_u2_summarizing_data,_m2_examining_relationships,"A study examined how the percentage of participants who completed a survey is related to the monetary incentive that researchers promised to participants. Consider the relationship between these two quantitative variables, displayed in the scatterplot below. The direction of this relationship is _________(A). In the context of this example, this means that when researchers promised higher payments, the percentage of participants who completed the survey _________(B). The form of the relationship is _________(C). Based on the form of the relationship as it is illustrated above, the relationship is quite _________(D).",506592989,A,"{'one': 'positive', 'two': 'negative', 'three': 'neither positive nor negative'}",positive
_u2_summarizing_data,_m2_examining_relationships,"A study examined how the percentage of participants who completed a survey is related to the monetary incentive that researchers promised to participants. Consider the relationship between these two quantitative variables, displayed in the scatterplot below. The direction of this relationship is _________(A). In the context of this example, this means that when researchers promised higher payments, the percentage of participants who completed the survey _________(B). The form of the relationship is _________(C). Based on the form of the relationship as it is illustrated above, the relationship is quite _________(D).",506592989,B,"{'one': 'increased', 'two': 'remained the same', 'three': 'decreased'}",increased
_u2_summarizing_data,_m2_examining_relationships,"A study examined how the percentage of participants who completed a survey is related to the monetary incentive that researchers promised to participants. Consider the relationship between these two quantitative variables, displayed in the scatterplot below. The direction of this relationship is _________(A). In the context of this example, this means that when researchers promised higher payments, the percentage of participants who completed the survey _________(B). The form of the relationship is _________(C). Based on the form of the relationship as it is illustrated above, the relationship is quite _________(D).",506592989,C,"{'one': 'linear', 'two': 'curvilinear', 'three': 'neither linear nor curvilinear'}",curvilinear
_u2_summarizing_data,_m2_examining_relationships,"A study examined how the percentage of participants who completed a survey is related to the monetary incentive that researchers promised to participants. Consider the relationship between these two quantitative variables, displayed in the scatterplot below. The direction of this relationship is _________(A). In the context of this example, this means that when researchers promised higher payments, the percentage of participants who completed the survey _________(B). The form of the relationship is _________(C). Based on the form of the relationship as it is illustrated above, the relationship is quite _________(D).",506592989,D,"{'one': 'strong', 'two': 'weak'}",strong
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),9888260365,A,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),9888260365,B,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),9888260365,C,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),9888260365,D,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),9888260365,E,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),9888260365,F,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),9888260365,G,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),8839969635,A,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),8839969635,B,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),8839969635,C,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),8839969635,D,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),8839969635,E,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),8839969635,F,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),8839969635,G,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,0.03,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaB
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,0.14,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaE
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,0.17,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaH
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,0.19,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaD
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,0.33,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaF
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,0.64,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaA
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,0.67,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaC
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,0.83,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaG
_u4_probability,_m1_finding_probability,Please complete the following table: false,5934889317,1.0,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaI
_u4_probability,_m1_finding_probability,Complete the following table: What is the probability that goes in each cell? Bnot BTotal D_________(A)_________(B)_________(C) not D_________(D)_________(E)_________(F) Total_________(G)_________(H)_________(I),9835300446,A,"{'one': '0.02', 'two': '0.03', 'three': '0.05', 'four': '0.38', 'five': '0.40', 'six': '0.57', 'seven': '0.60', 'eight': '0.95', 'nine': '1.00'}",0.38
