Unit,Module,Question,Question ID,Blank,Choices,Correct Answer
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",8,E,"{'one': 'explanatory', 'two': 'response'}",explanatory
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",8,F,"{'one': 'explanatory', 'two': 'response'}",response
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",8,G,"{'one': 'explanatory', 'two': 'response'}",response
_u2_summarizing_data,_m2_examining_relationships,"In example 2, the number of calories is the _________(A) variable, and the type of hot dog is the _________(B) variable.In example 4, gender is the _________(C) variable, and smoking habit is the _________(D) variable.In example 6, age is the _________(E) variable, and legibility distance is the _________(F) variable.In example 8, favorite type of music is the _________(G) variable, and IQ level is the _________(H) variable.",8,H,"{'one': 'explanatory', 'two': 'response'}",explanatory
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,A,"{'one': 'categorical', 'two': 'quantitative'}",quantitative
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,B,"{'one': 'categorical', 'two': 'quantitative'}",categorical
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,C,"{'one': 'Case C→Q', 'two': 'Case C→C', 'three': 'Case Q→Q', 'four': 'Case Q→C'}",Case C→Q
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,D,"{'one': 'categorical', 'two': 'quantitative'}",categorical
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,E,"{'one': 'categorical', 'two': 'quantitative'}",categorical
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,F,"{'one': 'Case C→Q', 'two': 'Case C→C', 'three': 'Case Q→Q', 'four': 'Case Q→C'}",Case C→C
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,G,"{'one': 'categorical', 'two': 'quantitative'}",quantitative
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,H,"{'one': 'categorical', 'two': 'quantitative'}",quantitative
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,I,"{'one': 'Case C→Q', 'two': 'Case C→C', 'three': 'Case Q→Q', 'four': 'Case Q→C'}",Case Q→Q
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,J,"{'one': 'categorical', 'two': 'quantitative'}",categorical
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,K,"{'one': 'categorical', 'two': 'quantitative'}",quantitative
_u2_summarizing_data,_m2_examining_relationships,Example 2:Number of calories is the response variable and it is _________(A). Type of hot dog is the explanatory variable and it is _________(B). Therefore this is an example of _________(C). Example 4:Gender is the explanatory variable and it is _________(D). Smoking habits is the response variable and it is _________(E). Therefore this is an example of _________(F). Example 6:Age is the explanatory variable and it is _________(G).Legibility distance is the response variable and it is _________(H).Therefore this is an example of _________(I). Example 8:Favorite type of music is the response variable and it is _________(J).IQ level is the explanatory variable and it is _________(K).Therefore this is an example of _________(L).,9,L,"{'one': 'Case C→Q', 'two': 'Case C→C', 'three': 'Case Q→Q', 'four': 'Case Q→C'}",Case Q→C
_u2_summarizing_data,_m2_examining_relationships,"A study examined how the percentage of participants who completed a survey is related to the monetary incentive that researchers promised to participants. Consider the relationship between these two quantitative variables, displayed in the scatterplot below. The direction of this relationship is _________(A). In the context of this example, this means that when researchers promised higher payments, the percentage of participants who completed the survey _________(B). The form of the relationship is _________(C). Based on the form of the relationship as it is illustrated above, the relationship is quite _________(D).",10,A,"{'one': 'positive', 'two': 'negative', 'three': 'neither positive nor negative'}",positive
_u2_summarizing_data,_m2_examining_relationships,"A study examined how the percentage of participants who completed a survey is related to the monetary incentive that researchers promised to participants. Consider the relationship between these two quantitative variables, displayed in the scatterplot below. The direction of this relationship is _________(A). In the context of this example, this means that when researchers promised higher payments, the percentage of participants who completed the survey _________(B). The form of the relationship is _________(C). Based on the form of the relationship as it is illustrated above, the relationship is quite _________(D).",10,B,"{'one': 'increased', 'two': 'remained the same', 'three': 'decreased'}",increased
_u2_summarizing_data,_m2_examining_relationships,"A study examined how the percentage of participants who completed a survey is related to the monetary incentive that researchers promised to participants. Consider the relationship between these two quantitative variables, displayed in the scatterplot below. The direction of this relationship is _________(A). In the context of this example, this means that when researchers promised higher payments, the percentage of participants who completed the survey _________(B). The form of the relationship is _________(C). Based on the form of the relationship as it is illustrated above, the relationship is quite _________(D).",10,C,"{'one': 'linear', 'two': 'curvilinear', 'three': 'neither linear nor curvilinear'}",curvilinear
_u2_summarizing_data,_m2_examining_relationships,"A study examined how the percentage of participants who completed a survey is related to the monetary incentive that researchers promised to participants. Consider the relationship between these two quantitative variables, displayed in the scatterplot below. The direction of this relationship is _________(A). In the context of this example, this means that when researchers promised higher payments, the percentage of participants who completed the survey _________(B). The form of the relationship is _________(C). Based on the form of the relationship as it is illustrated above, the relationship is quite _________(D).",10,D,"{'one': 'strong', 'two': 'weak'}",strong
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),11,A,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),11,B,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),11,C,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),11,D,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),11,E,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),11,F,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical: Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),11,G,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),12,A,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),12,B,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),12,C,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),12,D,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),12,E,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),12,F,"{'one': 'Quantitative', 'two': 'Categorical'}",Quantitative
_u2_summarizing_data,x-oli-inline-assessment,Examine each of the variables in the dataset as well as their descriptions above. Identify each variable as either quantitative or categorical. Hospt: _________(A)Treat: _________(B)Outcome: _________(C)Time: _________(D)AcuteT: _________(E)Age: _________(F)Gender: _________(G),12,G,"{'one': 'Quantitative', 'two': 'Categorical'}",Categorical
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,0.03,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaB
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,0.14,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaE
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,0.17,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaH
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,0.19,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaD
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,0.33,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaF
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,0.64,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaA
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,0.67,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaC
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,0.83,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaG
_u4_probability,_m1_finding_probability,Please complete the following table: false,13,1.0,"{'dropAreaA': 'dropAreaA', 'dropAreaB': 'dropAreaB', 'dropAreaC': 'dropAreaC', 'dropAreaD': 'dropAreaD', 'dropAreaE': 'dropAreaE', 'dropAreaF': 'dropAreaF', 'dropAreaG': 'dropAreaG', 'dropAreaH': 'dropAreaH', 'dropAreaI': 'dropAreaI'}",dropAreaI
_u4_probability,_m1_finding_probability,Complete the following table: What is the probability that goes in each cell? Bnot BTotal D_________(A)_________(B)_________(C) not D_________(D)_________(E)_________(F) Total_________(G)_________(H)_________(I),14,A,"{'one': '0.02', 'two': '0.03', 'three': '0.05', 'four': '0.38', 'five': '0.40', 'six': '0.57', 'seven': '0.60', 'eight': '0.95', 'nine': '1.00'}",0.38
_u4_probability,_m1_finding_probability,Complete the following table: What is the probability that goes in each cell? Bnot BTotal D_________(A)_________(B)_________(C) not D_________(D)_________(E)_________(F) Total_________(G)_________(H)_________(I),14,B,"{'one': '0.02', 'two': '0.03', 'three': '0.05', 'four': '0.38', 'five': '0.40', 'six': '0.57', 'seven': '0.60', 'eight': '0.95', 'nine': '1.00'}",0.57
_u4_probability,_m1_finding_probability,Complete the following table: What is the probability that goes in each cell? Bnot BTotal D_________(A)_________(B)_________(C) not D_________(D)_________(E)_________(F) Total_________(G)_________(H)_________(I),14,C,"{'one': '0.02', 'two': '0.03', 'three': '0.05', 'four': '0.38', 'five': '0.40', 'six': '0.57', 'seven': '0.60', 'eight': '0.95', 'nine': '1.00'}",0.95
_u4_probability,_m1_finding_probability,Complete the following table: What is the probability that goes in each cell? Bnot BTotal D_________(A)_________(B)_________(C) not D_________(D)_________(E)_________(F) Total_________(G)_________(H)_________(I),14,D,"{'one': '0.02', 'two': '0.03', 'three': '0.05', 'four': '0.38', 'five': '0.40', 'six': '0.57', 'seven': '0.60', 'eight': '0.95', 'nine': '1.00'}",0.02
_u4_probability,_m1_finding_probability,Complete the following table: What is the probability that goes in each cell? Bnot BTotal D_________(A)_________(B)_________(C) not D_________(D)_________(E)_________(F) Total_________(G)_________(H)_________(I),14,E,"{'one': '0.02', 'two': '0.03', 'three': '0.05', 'four': '0.38', 'five': '0.40', 'six': '0.57', 'seven': '0.60', 'eight': '0.95', 'nine': '1.00'}",0.03
