Unit,Module,Question,Choices,Correct Answer
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.Assume that the largest observation in this dataset is 8.6 minutes. If this observation were wrongly recorded as 86; then what would happen to the mean and median?,0: 1: Neither the mean nor the median would change. 2: Both the mean and the median would change. 3: The mean would stay the same; but the median would change. 4: The mean would decrease; but the median would not change. 5: The mean would increase; but the median would not change.,The mean would increase; but the median would not change.,
_u2_summarizing_data,_m1_examining_distributions,A survey was conducted to determine the number of servings of vegetables eaten; per day; by adolescents in the United States. The following table shows the results: What is the modal number of vegetable servings eaten; per day; by adolescents in the United States?,0: 1: 0 2: 1 3: 2 4: 3 5: More than 3,2,
_u2_summarizing_data,_m1_examining_distributions,The distribution of the amount of money spent by students for textbooks in a semester is approximately normal in shape with a mean of $235 and a standard deviation of $20. According to the standard deviation rule; how much did almost all (99.7%) of the students spend on textbooks in a semester?,0: 1: Between 215 and 255 dollars 2: Between 195 and 275 dollars 3: Between 175 and 295 dollars 4: Less than 215 dollars or more than 255 dollars 5: Above 235 dollars,Between 175 and 295 dollars,
_u2_summarizing_data,_m1_examining_distributions,The distribution of the amount of money spent by students for textbooks in a semester is approximately normal in shape with a mean of $235 and a standard deviation of $20. According to the standard deviation rule; almost 2.5% of the students spent more than what amount of money on textbooks in a semester?,0: 1: $195 2: $215 3: $235 4: $275 5: $295,$275,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (unnatural accidents and homicides) that were observed in a certain hospital during a week. Which of the following are the appropriate numerical measures to describe the center and spread of the above distribution?,0: 1: The mean and the median 2: The mean and the standard deviation 3: The IQR and the standard deviation 4: The median and the IQR,The median and the IQR,
_u2_summarizing_data,_m1_examining_distributions,The histogram below shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.Which of the following are the appropriate numerical measures to describe the center and spread of the above distribution?,0: 1: The mean and the median 2: The mean and the standard deviation 3: The IQR and the standard deviation 4: The median and the IQR,The median and the IQR,
_u2_summarizing_data,_m1_examining_distributions,A student survey was conducted at a major university; and data were collected from a random sample of 750 undergraduate students. One variable that was recorded for each student was the student's answer to the question "With whom do you find it easiest to make friends? Opposite sex/same sex/no difference." These data would be best displayed using which of the following?,0: 1: Pie chart 2: Histogram 3: IQR 4: Stemplot 5: Boxplot,Pie chart
_u2_summarizing_data,_m1_examining_distributions,A student survey was conducted at a major university; and data were collected from a random sample of 750 undergraduate students. One variable that was recorded for each student was the student's answer to the question: “What region of the country did you live in just prior to enrolling in this university? Northeast/Southeast/Northwest/Southwest/Midwest/Outside the U.S.” These data would be best displayed using which of the following?,0: 1: Histogram 2: IQR 3: Pie chart 4: Stemplot 5: Boxplot,Pie chart,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below display annual incomes (in thousands of dollars) of households in two cities. Which city has more households?,0: 1: Statstown 2: Medianville 3: Both cities have the same number of households. 4: It is impossible to tell from the boxplots.,It is impossible to tell from the boxplots.,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below display annual incomes (in thousands of dollars) of households in two cities. Which city has greater variability in income?,0: 1: Statstown 2: Medianville 3: Both cities have the same variability in income. 4: It is impossible to tell from the boxplots.,Statstown
_u2_summarizing_data,_m1_examining_distributions,The boxplots below display annual incomes (in thousands of dollars) of households in two cities. Which city has a greater percentage of households with annual incomes above $80;000?,0: 1: Statstown 2: Medianville 3: Both cities have the same percentage of households with annual incomes above $80;000. 4: It is impossible to tell from the boxplots.,Both cities have the same percentage of households with annual incomes above $80;000.,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below display annual incomes (in thousands of dollars) for households in two cities. Which city has a greater percentage of households with annual incomes between $50;000 and $80;000?,0: 1: Statstown 2: Medianville 3: Both cities have the same percentage of households with annual incomes between $50;000 and $80;000. 4: It is impossible to tell from the boxplots.,Medianville,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the real estate values of single-family homes in two neighboring cities (in thousands of dollars).Which city has more households?,0: 1: Tinytown 2: BigBurg 3: Both cities have the same number of households. 4: It is impossible to tell from the boxplots.,It is impossible to tell from the boxplots.,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the real estate values of single-family homes in two neighboring cities (in thousands of dollars).Which city has greater variability in real estate values?,0: 1: Tinytown 2: Bigburg 3: Both cities have the same variability in real estate values. 4: It is impossible to tell from the boxplots.,Bigburg,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the real estate values of single-family homes in two neighboring cities (in thousands of dollars).Which city has the greater percentage of households with real estate values above $85;000?,0: 1: Tinytown 2: Bigburg 3: Both cities have the same percentage of households with real estate values above $85;000. 4: It is impossible to tell from the boxplots.,Both cities have the same percentage of households with real estate values above $85;000.,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the real estate values of single-family homes in two neighboring cities (in thousands of dollars).Which city has a greater percentage of homes with real estate values between $55;000 and $85;000?,0: 1: Tinytown 2: BigBurg 3: Both cities have the same percentage of homes with real estate values between $55;000 and $85;000. 4: It is impossible to tell from the boxplots.,Tinytown
_u2_summarizing_data,_m1_examining_distributions,The boxplots below display annual incomes (in thousands of dollars) of households in two cities. Which city has greater variability in income?,0: 1: Statstown 2: Medianville 3: Both cities have the same variability in income. 4: It is impossible to tell from the boxplots.,Statstown
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the number of marshmallows in a bag; as estimated by students in two elementary school classes. Which class has greater variability in students’ estimate of the number of marshmallows?,0: 1: Ms. Apple’s class 2: Ms. Banana’s class 3: Both classes have the same variability in students’ estimates. 4: It is impossible to tell from the boxplots.,Ms. Apple’s class
_u2_summarizing_data,_m1_examining_distributions,The boxplots below display annual incomes (in thousands of dollars) for households in two cities. Which city has a greater percentage of households with annual incomes between $50;000 and $80;000?,0: Statstown 1: Medianville 2: Both cities have the same percentage of households with annual incomes between $50;000 and $80;000. 3: It is impossible to tell from the boxplots.,Both cities have the same percentage of households with annual incomes between $50;000 and $80;000.,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the real estate values of single-family homes in two neighboring cities (in thousands of dollars).Which city has a greater percentage of homes with real estate values between $55;000 and $85;000?,0: Tinytown 1: BigBurg 2: Both cities have the same percentage of homes with real estate values between $55;000 and $85;000. 3: It is impossible to tell from the boxplots.,BigBurg
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the number of marshmallows in a bag; as estimated by students in two elementary school classes. Which class has a greater percentage of estimates between 50 and 100 marshmallows?,0: Ms. Apple’s class 1: Ms. Banana’s class 2: Both classes have the same percentage of estimates between 50 and 100. 3: It is impossible to tell from the boxplots.,Both classes have the same percentage of estimates between 50 and 100.,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the real estate values of single-family homes in two neighboring cities (in thousands of dollars).Which city has the greater percentage of households with real estate values above $85;000?,0: 1: Tinytown 2: Bigburg 3: Both cities have the same percentage of households with real estate values above $85;000. 4: It is impossible to tell from the boxplots.,Both cities have the same percentage of households with real estate values above $85;000.,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the number of marshmallows in a bag; as estimated by students in two elementary school classes. Which class has the greater percentage of estimates over 100?,0: 1: Ms. Apple’s class 2: Ms. Banana’s class 3: Both classes have the same percentage of estimates over 100. 4: It is impossible to tell from the boxplots.,Ms. Banana’s class,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the real estate values of single-family homes in two neighboring cities (in thousands of dollars). Which city has more households?,0: 1: Statstown 2: Medianville 3: Both cities have the same number of households. 4: It is impossible to tell from the boxplots.,It is impossible to tell from the boxplots.,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the real estate values of single-family homes in two neighboring cities (in thousands of dollars).Which city has greater variability in real estate values?,0: 1: Tinytown 2: BigBurg 3: Both cities have the same variability in real estate values. 4: It is impossible to tell from the boxplots.,BigBurg,
_u2_summarizing_data,_m1_examining_distributions,The boxplots below show the number of marshmallows in a bag; as estimated by students in two elementary school classes.Which class has more students??,0: 1: Ms. Apple’s class 2: Ms. Banana’s class 3: Both classes have the same number of students. 4: It is impossible to tell from the boxplots.,It is impossible to tell from the boxplots.,
_u2_summarizing_data,_m1_examining_distributions,Here are two datasets: Dataset A: 64 65 66 68 70 71 72Dataset B: 64 65 66 68 70 71 720 For dataset A; the mean and median are 68. Looking at dataset B; notice that all of the observations except the last one are close together. Which measure will be affected by this last observation in dataset B?,0: 1: Mean 2: Median,Mean
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 6 8 11 6 12 15 Which of the following represents the mean number of hours spent on the computer?,0: 1: 6.0 2: 7.0 3: 8.0 4: 9.0,8.0,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that occurred in a certain hospital during a week. Which of the following is a possible value of the median in this example?,0: 1: 23 2: 45 3: 50 4: 33,
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.Which of the following is a possible value of the median in this example?,0: 1: 3.3 2: 3.9 3: 4.6 4: 5.5,3.9,
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 6 8 11 6 12 15Which of the following represents the median number of hours spent on the computer?,0: 1: 6.0 2: 7.0 3: 7.5 4: 8.0,7.0,
_u2_summarizing_data,_m1_examining_distributions,The following data; on the number of children born per 1;000 women; is from the Current Population Reports—Fertility of American Women: 2008 Number of Children012345 or more Frequency45.7%17.0%21.1%10.6%3.9%1.8%What is the modal number of children born to American women in 2008?,0: 1: 0 2: 1 3: 2 4: 3,0
_u2_summarizing_data,_m1_examining_distributions,A survey was conducted to determine the number of servings of vegetables eaten; per day; by adolescents in the United States. The following table shows the results:What is the modal number of vegetable servings eaten; per day; by adolescents in the United States?,0: 1: 0 2: 1 3: 2 4: 3 5: More than 3,2,
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 6 8 11 6 12 15 Which of the following represents the mode number of hours spent on the computer?,0: 1: 6.0 2: 7.0 3: 7.5 4: 8.0,6.0
_u2_summarizing_data,_m1_examining_distributions,Here are the number of hours that 9 students spend on the computer on a typical day: 1 6 7 6 8 11 6 12 15The data from the above 9 students form what type of distribution?,0: 1: Unimodal 2: Bimodal 3: Ultimodal,Unimodal
_u2_summarizing_data,_m1_examining_distributions,The cost of taking your pet aboard the air flight with you in the continental US varies according to the airlines. The five number summary for prices based on a sample of major U.S. airlines was:Min = 60; Q1 = 100; Median = 110; Q3 = 125; Max = 150 Which of the following is true about this data?,0: 1: The lowest price is an outlier. 2: The highest price is an outlier. 3: The data is skewed left. 4: The data is skewed right.,The lowest price is an outlier.
_u2_summarizing_data,_m1_examining_distributions,Based on the results of a nation-wide study; the number of contacts programmed into cell phones are summarized on the following boxplot:Which of the following is true about this data?,0: 1: The lowest observation is an outlier. 2: The highest observation is an outlier. 3: The data is skewed left. 4: The data is skewed right. 5: There are no outliers.,There are no outliers.,
_u2_summarizing_data,_m1_examining_distributions,Based on the results of a nationwide study; the number of contacts programmed into cell phones are summarized on the following boxplot:Which interval contains the greatest amount of data?,0: 1: 0–50 2: 50–100 3: 75–125 4: 125–175 5: It is impossible to tell.,50–100,
_u2_summarizing_data,_m1_examining_distributions,Based on the results of a nationwide study; the number of contacts programmed into cell phones are summarized on the following boxplot:Which interval contains the greatest amount of data?,0: 1: 0–50 2: 50–100 3: 100–150 4: 150–200 5: It is impossible to tell.,It is impossible to tell.,50–100,
_u2_summarizing_data,_m1_examining_distributions,A student survey was conducted at a major university; and data were collected from a random sample of 750 undergraduate students. One variable that was recorded for each student was the student's answer to the question "With whom do you find it easiest to make friends? Opposite sex/same sex/no difference." These data would be best displayed using which of the following?,0: 1: Pie chart 2: Histogram 3: IQR 4: Stemplot 5: Boxplot,Pie chart
_u2_summarizing_data,_m1_examining_distributions,A student survey was conducted at a major university; and data were collected from a random sample of 750 undergraduate students. One variable that was recorded for each student was the student's answer to the question: “What region of the country did you live in just prior to enrolling in this university? Northeast/Southeast/Northwest/Southwest/Midwest/Outside the U.S.” These data would be best displayed using which of the following?,0: 1: Histogram 2: IQR 3: Pie chart 4: Stemplot 5: Boxplot,Pie chart,
_u2_summarizing_data,_m1_examining_distributions,Thirty adults were asked which of the following conveniences they would find most difficult to do without: television; refrigerator; air conditioning; public transportation; or microwave. These data would be best displayed using which of the following?,0: 1: Histogram 2: Pie chart 3: IQR 4: Boxplot 5: Stemplot,Pie chart,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that were observed in a certain hospital during a week.What percentage of deaths were individuals younger than 35?,0: 1: 34% 2: 60% 3: 68% 4: 70% 5: 80%,68%,
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.What percentage of the rats navigated the maze in less than 5.5 minutes?,0: 1: 21% 2: 60% 3: 68% 4: 70% 5: 84%,84%,
_u2_summarizing_data,_m1_examining_distributions,Based on the results of a nationwide study; the number of contacts programmed into cell phones are summarized on the following boxplot:Choose the correct label for the point on the boxplot represented by the question mark:,0: 1: Minimum 2: Q1 3: Median 4: Q3 5: Maximum,Q3,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that were observed in a certain hospital during a week. For the data described by the above histogram; which of the following is a correct statement about the median?,0: 1: The median will be bigger than the mean. 2: The median will be smaller than the mean. 3: The median and the mean will be about the same. 4: The median and the range will be about the same.,The median will be smaller than the mean.,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that were observed in a certain hospital during a week. Assume that the largest observation in this dataset is 90. If this observation were wrongly recorded as 900; then what would happen to the mean and median?,0: 1: Neither the mean nor the median would change. 2: Both the mean and the median would change. 3: The mean would stay the same; but the median would change. 4: The mean would decrease; but the median would not change. 5: The mean would increase; but the median would not change.,The mean would increase; but the median would not change.,
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.For the data described by the above histogram; which of the following is a correct statement about the median?,0: 1: The median will be smaller than the mean. 2: The median will be larger than the mean. 3: The median and the mean will be about the same. 4: The median and the range will be about the same.,The median will be smaller than the mean.
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.Assume that the largest observation in this dataset is 8.6 minutes. If this observation were wrongly recorded as 86; then what would happen to the mean and median?,0: 1: Neither the mean nor the median would change. 2: Both the mean and the median would change. 3: The mean would stay the same; but the median would change. 4: The mean would decrease; but the median would not change. 5: The mean would increase; but the median would not change.,The mean would increase; but the median would not change.,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (unnatural accidents and homicides) that were observed in a certain hospital during a week. Which of the following are the appropriate numerical measures to describe the center and spread of the above distribution?,0: 1: The mean and the median 2: The mean and the standard deviation 3: The IQR and the standard deviation 4: The median and the IQR,The median and the IQR,
_u2_summarizing_data,_m1_examining_distributions,The histogram below shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.Which of the following are the appropriate numerical measures to describe the center and spread of the above distribution?,0: 1: The mean and the median 2: The mean and the standard deviation 3: The IQR and the standard deviation 4: The median and the IQR,The median and the IQR,
_u2_summarizing_data,_m1_examining_distributions,A survey was conducted from a random sample of 8225 Americans; and one variable that was recorded for each participant was their answer to the question; "How old are you?"The mean of this data was found to be 42; while the median was 37. What does this tell you about the shape of this distribution?,0: 1: It is skewed left. 2: It is skewed right. 3: It is symmetric. 4: There is not enough information.,It is skewed right.,
_u2_summarizing_data,_m1_examining_distributions,The histogram below displays the distribution of 50 ages at death due to trauma (accidents and homicides) that were observed in a certain hospital during a week.Which of the following best describes the shape of the histogram?,0: 1: Symmetric 2: Left-skewed with no outliers 3: Right-skewed with no outliers 4: Left-skewed with a possible outlier 5: Right-skewed with a possible outlier,Right-skewed with a possible outlier,
_u2_summarizing_data,_m1_examining_distributions,This histogram shows the times; in minutes; required for 25 rats in an animal behavior experiment to successfully navigate a maze.Which of the following best describes the shape of the histogram?,0: 1: Symmetric 2: Left-skewed with no outliers 3: Right-skewed with no outliers 4: Left-skewed with a possible outlier 5: Right-skewed with a possible outlier,Right-skewed with a possible outlier,
_u2_summarizing_data,_m1_examining_distributions,The distribution of the amount of money spent by students for textbooks in a semester is approximately normal in shape with a mean of $235 and a standard deviation of $20. According to the standard deviation rule; how much did almost all (99.7%) of the students spend on textbooks in a semester?,0: 1: Between $215 and $255 2: Between $195 and $275 3: Between $175 and $295 4: Less than $215 or more than $255 5: Above $235,Between $175 and $295,
_u2_summarizing_data,_m1_examining_distributions,The distribution of the amount of money spent by students for textbooks in a semester is approximately normal in shape with a mean of $235 and a standard deviation of $20. According to the standard deviation rule; almost 2.5% of the students spent more than what amount of money on textbooks in a semester?,0: 1: $195 2: $215 3: $235 4: $275 5: $295,$275,
_u2_summarizing_data,_m1_examining_distributions,The distribution of the IQ (Intelligence Quotient) is approximately normal in shape with a mean of 100 and a standard deviation of 15. According to the standard deviation rule; what range of IQ scores do many (68%) people have?,0: 1: Between 85 and 115 2: Between 70 and 130 3: Between 55 and 145 4: Less than 85 or more than 115 5: Above 100,Between 85 and 115
_u2_summarizing_data,_m1_examining_distributions,The distribution of the amount of money spent by first-time gamblers at a major casino in Las Vegas is approximately normal in shape with a mean of $600 and a standard deviation of $120. According to the standard deviation rule; almost 84% of gamblers spent more than what amount of money at this casino?,0: 1: $360 2: $480 3: $600 4: $720 5: $840,$480,
_u2_summarizing_data,_m1_examining_distributions,The distribution of the IQ (Intelligence Quotient) is approximately normal in shape with a mean of 100 and a standard deviation of 15. According to the standard deviation rule; only 0.15% of people have an IQ over what score?,0: 1: 55 2: 100 3: 115 4: 130 5: 145,145,
_u2_summarizing_data,_m2_examining_relationships,A store asked 250 of its customers whether or not they were satisfied with the service. The responses were also classified according to the gender of the customers. We want to study whether there is a relationship between satisfaction and gender. Which of the following would be a meaningful display of the data from this study?,0: 1: Side-by-side boxplots 2: A pie chart 3: A histogram 4: A scatterplot 5: A two-way table,A two-way table,
_u2_summarizing_data,_m2_examining_relationships,A survey was conducted to study the relationship between the annual income of a family and the amount of money the family spends on entertainment. Data were collected from a random sample of 280 families from a certain metropolitan area. Which of the following would be a meaningful display of the data from this study?,0: 1: Side-by-side boxplots 2: A pie chart 3: A histogram 4: A scatterplot,A scatterplot,
_u2_summarizing_data,_m2_examining_relationships,In order to study whether IQ level is related to birth order; data were collected from a sample of 540 students on their birth order (Oldest/In Between/Youngest) and their score on an IQ test.Which of the following would be a meaningful display of the data from this study?,0: 1: A pie chart 2: A histogram 3: A scatterplot 4: A two-way table 5: Side-by-side boxplots,Side-by-side boxplots,
_u2_summarizing_data,_m2_examining_relationships,A local ice cream shop kept track of the number of cans of cold soda it sold each day; and the temperature that day; for 2 months during the summer. The data are displayed in the scatterplot below:,0: 1: Positive linear relationship with outlier(s) 2: Positive linear relationship with no outlier(s) 3: Positive nonlinear relationship with outlier(s) 4: Negative linear relationship with no outlier(s) 5: Negative nonlinear relationship with outlier(s) 6: Negative nonlinear relationship with no outlier(s),Positive linear relationship with outlier(s)
_u2_summarizing_data,_m2_examining_relationships,Which of the tables is the appropriate table of conditional percentages to discover if the region where one lives affects whether or not one has health insurance?,0: 1: Table A 2: Table B 3: Table C,Table A
_u2_summarizing_data,_m2_examining_relationships,High blood pressure is unhealthy. Here are the results of one of the studies that link high blood pressure to death from cardiovascular disease. The researchers classified a group of white males aged 35 to 64 as having low blood pressure or high blood pressure; then followed the subjects for 5 years. The following two-way table gives the results of the study:In this example; which of the following would be appropriate to calculate?,0: 1: Conditional row percentages 2: Conditional column percentages 3: The correlation coefficient r 4: The five-number summary of both variables,Conditional column percentages,
_u2_summarizing_data,_m2_examining_relationships,A local ice cream shop kept track of the number of cans of cold soda it sold each day; and the temperature that day; for two months during the summer. The data are displayed in the scatterplot below:,0: 1: A reasonable value of the correlation coefficient r for these data is 1.2. 2: If the temperature were measured in degrees Celsius (C = 5/9*(F-32)); the value of r would change accordingly. 3: If the outlier were removed; r would increase. 4: If the outlier were removed; r would decrease.,If the outlier were removed; r would increase.,
_u2_summarizing_data,_m2_examining_relationships,Suppose that the correlation r between two quantitative variables was found to be r = 0. Which of the following is the best interpretation of this correlation value?,0: 1: There is a strong linear relationship between the two variables. 2: There is no linear relationship between the two variables. 3: There is a strong relationship between the two variables. 4: There is no relationship between the two variables.,There is no linear relationship between the two variables.,
_u2_summarizing_data,_m2_examining_relationships,A correlation of r = 0.85 is found between weekly sales of firewood and cough drops over a 1-year period. Check all that apply.,0: 1: There is a pretty strong positive linear relationship between sales of firewood and cough drops. 2: Fire must be the cause of coughing. 3: Temperature is a possible lurking variable that is behind this relationship.,Temperature is a possible lurking variable that is behind this relationship.,
_u2_summarizing_data,_m2_examining_relationships,The data in the scatterplot below are an individual's weight and the time it takes (in seconds) on a treadmill to raise his or her pulse rate to 140 beats per minute. The o's correspond to females and the +'s to males. Which of the following conclusions is most accurate?,0: 1: There is a positive correlation between gender and weight. 2: There is a negative correlation between time and weight for males and for females. 3: There is a positive correlation between time and weight for males and for females. 4: There is a negative correlation between gender and weight.,There is a negative correlation between time and weight for males and for females.,
_u2_summarizing_data,_m2_examining_relationships,What can we say about the relationship between the correlation r and the slope b of the least-squares line for the same set of data?,0: 1: Both r and b always have values between -1 and 1. 2: r is always larger than b. 3: r and b have the same sign (+ or -). 4: the slope b is always equal to the square of the correlation r. 5: b is always larger than r.,r and b have the same sign (+ or -).,
_u2_summarizing_data,_m2_examining_relationships,A study seeks to answer the question; “Does Vitamin C level in the breast milk of new mothers reduce the risk of allergies in their breastfed infants?” The study concluded that high levels of vitamin C (measured in mg) were associated with a 30 percent lower risk of allergies in the infants.In this scenario; “levels of vitamin C (measured in milligrams)” is what type of variable?,0: 1: Categorical 2: Quantitative,Quantitative,
_u2_summarizing_data,_m2_examining_relationships,A study seeks to answer the question; “Does Vitamin C level in the breast milk of new mothers reduce the risk of allergies in their breastfed infants?” The study concluded that high levels of vitamin C (measured in milligrams) were associated with a 30 percent lower risk of allergies in the infants.In this scenario; “presence of allergies” is what type of variable?,0: 1: Categorical 2: Quantitative,Categorical
_u2_summarizing_data,_m2_examining_relationships,High blood pressure is unhealthy. Here are the results of one of the studies that link high blood pressure to death from cardiovascular disease. The researchers classified a group of white males aged 35 to 64 as having low blood pressure or high blood pressure; then followed the subjects for 5 years. The following two-way table gives the results of the study:In this example; which of the following would be appropriate to calculate?,0: 1: Conditional row percentages 2: Conditional column percentages 3: The correlation coefficient r 4: The five-number summary of both variables,Conditional column percentages,
_u2_summarizing_data,_m2_examining_relationships,A 2009 study analyzed data from the National Longitudinal Study of Adolescent Health. Participants were followed into adulthood. Each study participant was categorized as to whether they were obese (BMI >30) or not and whether they were dating; cohabiting; or married. The researchers were trying to determine the effect of relationship status on obesity. The table below summarizes the results. DatingCohabitingMarriedTotal Obese81103147331 Not obese359326277962 Total4404294241;293In this example; which of the following would it be appropriate to calculate?,0: 1: Conditional row percentages 2: Conditional column percentages 3: The correlation coefficient (r) 4: The five-number summary of both variables,Conditional column percentages,
_u2_summarizing_data,_m2_examining_relationships,A local ice cream shop kept track of the number of cans of cold soda it sold each day; and the temperature that day; for two months during the summer. The data are displayed in the scatterplot below:,0: 1: A reasonable value of the correlation coefficient r for these data is 1.2. 2: If the temperature were measured in degrees Celsius (C = 5/9*(F-32)); the value of r would change accordingly. 3: If the outlier were removed; r would increase. 4: If the outlier were removed; r would decrease.,If the outlier were removed; r would increase.,
_u2_summarizing_data,_m2_examining_relationships,The weights (in pounds) and cholesterol levels (in mg/dL) of several individuals was observed. The data are shown in the scatterplot below:,0: 1: A reasonable value of the correlation coefficient r for these data is 1.2. 2: If the weight (WT) were measured in kilograms instead of pounds (1 lb = 0.4536 kg) the value of r would change accordingly. 3: If the outlier were removed; the correlation coefficient (r) would increase. 4: If the outlier were removed; the correlation coefficient (r) would decrease.,If the outlier were removed; the correlation coefficient (r) would increase.,
_u2_summarizing_data,_m2_examining_relationships,Suppose that the correlation r between two quantitative variables was found to be r = 0. Which of the following is the best interpretation of this correlation value?,0: 1: There is a strong linear relationship between the two variables. 2: There is no linear relationship between the two variables. 3: There is a strong relationship between the two variables. 4: There is no relationship between the two variables.,There is no linear relationship between the two variables.,
