Unit,Module,Filename,Question,Explanation
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_parathyroid_tt_digt.xml,Explain the physiological mechanism that connects osteoporosis to hyperparathyroidism.,"Under the influence of increased PTH, the osteoclasts become more active and no longer balanced with osteoblast bone deposition for normal homeostatic bone remodeling. The level of calcium in blood is maintained homeostatically for normal function of nerves and muscle, but the bone matrix has lost calcium and can become thin and brittle.None"
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_parathyroid_tt_lbd.xml,"While the indirect effect of both calcitonin and PTH on osteoblasts is still being studied, what would be the expected effect of each hormone?","Calcitonin would stimulate osteoblast activity to deposit more bone matrix, removing it from the blood. PTH would inhibit osteoblasts so they don’t remove the blood calcium being conserved by the kidney and absorbed by the intestine."
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_pineal_tt_digt.xml,Target cell receptors for melatonin are found in the hypothalamus and pituitary. What is the functional significance of this anatomical feature?,"Through the major homeostasis centers and “master gland” with tropic hormones, melatonin can influence many different targets in the body. Normally this sets up a circadian rhythm of metabolism, but it also accounts for the wide range of effects associated with jet lag or shift work.None"
_u10_endocrine,_u10_m1_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m1_LOO/x-oli-inline-assessment/endo_thyroid_tt_digt.xml,"Before 1924, when Morton Salt began regularly adding iodine to salt in response to U.S. health official requests, people living in the upper Midwest and Great Lakes Region had a high incidence of goiter. Why?","The soils in that region have some of the lowest iodine levels in the world and they were eating mostly fresh water fish which did not provide iodine in their diet. Coastal regions with access to seafood did not have the same problems. Today with wide distribution of refrigerated fresh and frozen seafood, that is less a concern."
_u10_endocrine,_u10_m2_homeostasis,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/_u10_m2_homeostasis/x-oli-inline-assessment/endo_fluid_tt_digt.xml,"Most people know of the kind of diabetes associated with improper production or response to insulin (diabetes mellitus). Many even know of the difference between type 1 and type 2 diabetes mellitus. However, most people don’t know much about this very different disease called diabetes insipidus. The term “diabetes” is derived from Greek meaning “through a siphon”. How would you explain to them why they are both called diabetes?","Both diseases involve excess urine production (polyuria) and excess thirst (polydipsia). In diabetes insipidus, the lack of the hormone that normally controls water reabsorption by osmosis is missing, so this is a direct link to increased urine production. In diabetes mellitus, the hormone involved is insulin that normally controls movement of glucose from the blood into cells for metabolism. The resulting increased blood glucose results in more glucose being filtered than can be reabsorbed. This extra solute draws more water into the tubules by osmosis, increasing urine volume. As the condition becomes chronic, destruction of the kidney itself increases this effect by presence of protein in the filtrate and urine as well.None"
_u11_respiratory,_u11_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m2_structures/x-oli-inline-assessment/respiratory_low_temp_breath_nose.xml,In your own words explain why some experts recommend that you should breath through your nose when temperatures are low.,When the temperature of the air is very cold it can cause damage to the respiratory zone. It can also lead to lower enzyme function which can decrease the ability of the body to convert between carbon dioxide and carbonic acid. Breathing in through the nose is advantageous because the nasal cavity contains the nasal conchae which help to warm and humidify the cold air before it enters the trachea. The nostrils are also smaller in diameter so less air can enter and be warmed at one time.
_u11_respiratory,_u11_m4_homeostasis,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m4_homeostasis/x-oli-inline-assessment/respiratory_system_homeostasis.xml,A common treatment for hyperventilation has been to breath into a paper bag. Based on what you know about how the respiratory system functions to maintain homeostasis. Explain why this may help hyperventilation but may also cause serious problems.,"By breathing out into a paper bag a person creates air that is rich in carbon dioxide. Hyperventilation lowers the amount of carbon dioxide in the blood by inhaling air that is rich in carbon dioxide a person can restore some of that carbon dioxide. If the carbon dioxide levels in the blood fall too far it can result in hypocapnia which can result in the dilation of blood vessels and an increased affinity of hemoglobin for oxygen. These two things can cause a lack of oxygen being supplied to the brain. The other issue can occur when a person is breathing the air from the bag, they are breathing air with a lower concentration of oxygen which lowers the amount of oxygen available to the person. None"
_u12_urinary,_u12_m1_introduction,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m1_introduction/x-oli-inline-assessment/urinary_function_urinary_sys_1.xml,What is the difference between excretion and elimination?,The Urinary system utilizes the process of excretion to rid the body of the nitrogenous waste products of metabolism. It will also rid the body of some unmetabolized drugs through the process of elimination. The digestive system utilizes elimination to rid the body of undigestable materials.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-inline-assessment/urinary_antidiuretic_hormone.xml,What is the purpose of the Antidiuretic hormone?,"In the case of a person who does not drink enough water, sweats a lot, or has diarrhea, the body needs to conserve water. If water conservation is required, the Antidiuretic hormone allows the kidneys to produce a small amount of concentrated urine to both preserve water and still eliminate wastes and surplus ions."
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-inline-assessment/urinary_countercurrent_mult.xml,"With considering the role of the medullary interstitial, what is the difference between countercurrent exchange and countercurrent multiplication?","In countercurrent exchange, urea and sodium and chloride ions diffuse from the medullary interstitial fluid into the blood, which then allows water to diffuse from the blood into the interstitial fluid. The countercurrent multiplication mechanism, located in the loop of Henle, is responsible for the establishment of an osmotic gradient within the medullary interstitium."
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-inline-assessment/urinary_filtration_membrane_1.xml,Doctors will look for the serum proteins in the urine as a test for kidney damage. Why?,If serum proteins are filtered through the gomerulus that means that the filtration membrane may be damaged. Normally proteins are blocked by size.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-inline-assessment/urinary_urea.xml,Why are most of the substances filtered through the kidneys reabsorbed? Why is urea the one substance that is not reabsorbed to the extent that the others are?,"To maintain normal plasma levels, almost every organic nutrient is reabsorbed while urea is the waste product of the urinary system."
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-inline-assessment/urinary_urine_storage.xml,What is the mechanism that temporarily prevents urine from escaping when bladder volume is not too great and when there is not much discomfort from a full urinary bladder?,"Because they are reflexes, spinal storage reflexes automatically cause the internal and external urethral sphincter muscles to contract."
_u12_urinary,_u12_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m3_levels_org/x-oli-inline-assessment/urinary_urine_volume.xml,"As noted above, the volume of urine can vary. Using both the above chart and the text, why would the volume change? The answer needs to be more complete than simply, “drinking more would change the volume”.","Despite the volume of liquid varying from day to day, the total volume of fluid within the body typically remains the same. This is due to the body’s fluid homeostasis. Through homeostasis, a person will urinate more when drinking a large amount of fluid. Conversely, when an inadequate amount of fluids are not taken in, the kidneys will produce a small amount of concentrated urine to preserve water. So, through homeostasis, the amount of fluid in the body will remain about the same."
_u13_lymphatic,_u13_m2_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/_u13_m2_LOO/x-oli-inline-assessment/lymph_innate_cellular_sac.xml,Describe the innate immune response to bacteria that enters through a cut on the skin.,"The first obstacle that bacteria must overcome is the skin. Entry through a cut in the skin allows for such access. When it enters, the pathogen-associated molecular patterns (PAMPs) found on the surface of the bacteria are recognized by the local immune cells. Mast cells begin to release chemicals to recruit other immune cells, then macrophages or neutrophils will phagocytize the bacteria and lyse it. The area of infection shows signs of infection. It will become hot, red, swollen, and become painful because of the influx of inflammatory cells.None"
_u13_lymphatic,_u13_m2_LOO,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/_u13_m2_LOO/x-oli-inline-assessment/lymph_innate_cellular_sac.xml,Why is it beneficial to have an innate immune response?,The innate immune response is very rapid. Signs of infection and inflammation are evident within minutes of exposure. The innate immune response will either prevent or diminish the potential damage that can result if a pathogen gained access to the body.None
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/classify_receptors_DIGT2.xml,Chemoreceptor cells contain cell membrane proteins that detect chemical stimuli dissolved in fluids. What two body fluids are necessary in order for us to smell and taste? _________(chemoreceptor_sa),"The saliva dissolves chemicals in food so we can taste them and mucous of our nasal cavity dissolves airborne chemicals so we can smell them. If you dry off your tongue and hold your nose, you won’t be able to “taste” the difference between a piece of apple or a piece of potato. Much of what we perceive as “taste” is really smell – think about how things “taste” when you have congestion from a bad cold and can’t smell."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/define_epsp_sc.xml,"The channels responsible for EPSP’s are sodium channels, while those responsible for IPSP’s are potassium and chloride channels. Can you explain why?","Due to the higher extracellular concentration of Na+, opening Na+-channels causes rapid inward diffusion of Na+ that leads to depolarization (less negative or positive on inside) of the cell membrane. On the other hand, opening of K+-channel or the Cl—channel causes these ions to follow the concentration gradient out of the cell (K+) or into the cell (Cl-), respectively, leading to hyperpolarization (even more negative than resting potential on inside)."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/define_hyperalgesia_LBD1.xml,"The term hyperalgesia comes from the Greek roots “hyper-” meaning “over” and “-algos” meaning “pain”. The increased pain perception comes from sensitization of the normally silent mechanoreceptors. Another term, allodynia comes from the Greek roots “allos” meaning “other” and “odune” also meaning “pain”. The change in this instance occurs within the central nervous system neurochemistry, not in the peripheral receptors. An example of this “other pain” is when it hurts to have your shirt touch your skin after a sunburn. What is the main difference between hyperalgesia and allodynia? _________(q1_sa)","Allodynia is used to describe pain from a stimulus that normally would not be able to stimulate pain receptors, such as light touch stimulating pain receptors near the epidermis/dermis border. The changes occur within the central nervous system, not the receptor. Hyperalgesia is used to describe the increased sensation of pain from a stimulus that would normally stimulate only pressure receptors if the silent pain receptors themselves in the peripheral nervous system were not sensitized. The change occurs with the receptors in the peripheral nervous system."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/define_nociceptors_DIGT1.xml,"There are times when surgeons will perform what is called “awake brain surgery”. The scalp is numbed and the patient receives some sedation, but does not lose consciousness. The patient may be asked questions and respond during the surgery. Based on your knowledge of nociceptor distribution, explain how this is possible._________(q1_sa)","The brain and spinal cord tissue does not contain nociceptors. So a headache is not pain coming from the brain itself. The pain is coming from stimulation of nociceptors associated with other tissues around the nervous tissue of the brain, such as meninges or blood vessels, or from other structures in the head, such as muscles, sinuses, or eyes."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/define_reflex_DIGT1.xml,"You see someone about to touch a hot pan, but just before they touch it they stop and withdraw their hand, preventing a serious burn to the skin of their hand. What evidence do you have that this was not a somatic reflex?_________(qsub_0)","Because they didn’t actually touch the pan, there was no sensory input to initiate the involuntary reflex to stimulate the motor response of quickly withdrawing their hand. Instead, they initiated a voluntary motor response that prevented stimulation of that receptor based on other sensory input being consciously interpreted and linked to conscious learned behavior or memory."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/define_reflex_DIGT2.xml,"When stimulating the muscle spindle receptor with a reflex hammer, the detected muscle stretch causes a reflex where the muscle responds by quickly extending the knee joint. Such a rapid contraction can put significant tension on the the tendon of the muscle that is sensed by the tendon sense organ. To prevent damage to the tendon or its attachment to bone, what type of reflex would you predict the tendon sense organ would initiate? _________(qsub_0)","Stimulation of the tendon stretch organ will result in muscle inhibition (relaxation), thus preventing tendon damage. The tendon reflex is an ipsilateral somatic reflex that is the opposite of the stretch reflex."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/describe_ear_impulses_digt1.xml,What part of the ear structures are responsible for the large amplification of sound from the external to inner ear?,"The small bones in the middle ear, the ossicles, amplify sound between the tympanic membrane and the oval window of the inner ear."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/describe_ear_impulses_digt2.xml,"where do frequencies, from high to low pitches, cause activity in the hair cells within the cochlear duct?",High frequencies activate hair cells towards the base of the cochlea and low frequencies activate hair cells towards the apex of the cochlea.
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/describe_pain_DIGT1.xml,"Some people have one of several rare genetic diseases called hereditary sensory neuropathy in which their nociceptors don’t function properly. They can’t detect pain, especially in appendicular parts of body and mouth. As a result, they often injure themselves without being aware of the damage. They also frequently don’t sweat and are susceptible to hyperthermia.Explain why the fact that our nociceptors don’t typically adapt is a protective mechanism. _________(q1_sa)",
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/describe_receptor_modality_DIGT1.xml,"Even though a receptor might be able to contribute information to more than one sensory modality (such as temperature and pain), what is specific for each receptor. _________(q1_sa)",
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/describe_taste_DIGT2.xml,Some liquid medicines have a chemical added that specifically binds to G-protein coupled receptors for alkaloids but does not depolarize the cell membrane. What would be their purpose? _________(qpart_0),"Many medicines contain alkaloids that are bitter, so this acts as a bitter block and makes the medicine taste less bitter, so patients would be more likely to take their medication as prescribed. This negates the need to add sweet chemicals to make it a little more palatable. Future research on the proposed fat receptor could include identifying chemical blocking strategies to reduce the taste attraction to fat as a method to help manage obesity in some people."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/describe_taste_nerves_DIGT1.xml,Are you very sensitive to tastes? Can you see any similarities among the members of your family? _________(qpart_0),"For myself: I can eat most anything (except mushrooms!) so I don’t think I’m that sensitive to tastes. My whole family likes eating a variety of foods, so it seems that we all have the same level of sensitivity."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/explain_adaptation_DIGT1.xml,"Lamellar (Pacinian) corpuscles that perceive pressure also adapt quickly, reducing or stopping signal transduction despite continued mechanical pressure. Explain how this physiological phenomenon relates to our sensation of knee position when walking versus sitting?_________(q1_sa)","While walking, the receptors are detecting all the changes in movement and pressure. However, when you sit down, you perceive the initial bending of your knees, but as you stay seated, the pressure perception is lost - unless you move again."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/explain_all_actionpot_sc.xml,Both graded potentials and action potentials can involve Na+ and K+ channels. What is different in how these channels behave that creates the different types of potentials?,"Graded potentials will open or close Na+ and K+ channels in response to various stimuli but when they do they create only small localized change in membrane potential. For an action potential, a voltage-gated Na+ channel opens in response to voltage change and causes a standardized large and quick change in membrane potential and K+ channels open slower while Na+ channels close. This sets up a propagation of action potentials sequentially along the axon at same strength in one direction."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/explain_receptors_DIGT1.xml,"If a physiologist wanted to study the differences in somatic and visceral reception from muscle tissue, they would compare the characteristics of nerve impulse transduction and propagation from smooth muscle to what other kind of tissue? _________(q1_sa)","Skeletal muscle, because it is the form of muscular tissue that contains somatic receptors. The smooth muscle of internal organs would provide the information from the visceral receptors."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/explain_synapse_potential_DIGT2.xml,"The channels responsible for EPSP’s are sodium channels, while those responsible for IPSP’s are potassium and chloride channels. Can you explain why?_________(q1_submit)",
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/explain_tastechems_DIGT1.xml,"Sometimes medication or radiation can reduce the amount of saliva a person produces, resulting in a condition called dry mouth. What effect would this have on their sense of taste? _________(qpart_0)","They will probably have a reduction in ability to taste or things will taste different and maybe they could temporarily lose the sense of taste completely. Without saliva, only liquid would likely be tasted because the saliva is necessary to dissolve the chemicals in food that will stimulate the gustatory receptor cell."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/eye_functions_DIGT2.xml,"If the lacrimal gland is located lateral and superior to the eye organ, why do we tears flow form first at the medial corner of the eye? _________(qsub_0)","The lacrimal gland is producing tears all the time to keep the surface of the eye moist and wash away foreign particles. These secretions normally flow down the lacrimal duct as quickly as they are produced. When we cry, we are producing tears faster than they can enter the duct, so they back up and leak out of the medial corner where the duct opening is found. This also accounts for the runny nose that often occurs with crying, since more tears than normal are still entering the nasal cavity through the lacrimal ducts."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/eye_retina_nervepath_LBD1.xml,This video gives an abbreviated overview of the visual system by concentrating on the pathway from the eyes to the occipital lobe. The video makes the statement (at 0:45) that “specialized cells in the retina called ganglion cells convert the light rays into electrical signals.” What aspect of retinal processing is simplified by that statement? Explain your answer. _________(q1_sc),"Photoreceptors convert light energy, or photons, into an electrcochemical signal. The retina contains bipolar cells, and the RGCs that finally convert it into action potentials that are sent from the retina to the central nervous system."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/identify_neurotransitters_preg_LBD2.xml,Why do we feel cold when facing a “fight or flight” situation?,"When we are faced with a situation that demands our earnest attention – that is, whether to “fight or run” – our brain needs to receive as much oxygen it can get (for information processing); our respiratory passageways need to open up for moving as much air as possible; the heart needs to pump more blood to mover oxygen to the needed organs (brain and skeletal muscles). When we are faced with such a situation, it is unlikely that we will have time to eat (or even feel like eating), nor will we have the time to waste on going to the bathroom; hence these functions will not be facilitated. Since the blood flow has to increase to other more important organs, peripheral arteries (integumentary) will be constricted to limit blood-flow towards the body surface. As a result, we also feel cold."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/identify_neurotransitters_preg_LBD3.xml,The effects of the sympathetic nervous system are often more generalized and widespread than the effects of the parasympathetic nervous system (which tend to be more specific and localized). How does the anatomy of the sympathetic nervous system provide for more widespread effects?,"The sympathetic postganglionic fibers travel a long distance to their targets. This allows the fibers to branch so that multiple target organs can be innervated by a single fiber. In the parasympathetic nervous system, the ganglia occur near or within the target so there is very little divergence and a single fiber stimulates a single target. Also, the adrenal medulla releases catecholamines (epinephrine and norepinephrine) to the bloodstream where they can travel throughout the body and exert an effect on any target that has a receptor. The parasympathetic nervous system does not have a mechanism to release its neurotransmitter, acetylcholine, into the bloodstream."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/list_pain_categories_DIGT1.xml,"What type of nociceptor and fiber is most likely activated to create the soreness you experience after an intense work out at the gym, especially if you haven’t been doing so regularly? _________(q1_sa)","Most likely you are experiencing stimuli from nociceptors associated with skeletal muscles and joints that are mechanoreceptors with slow, less precisely localized C fibers. You may also have stimulated silent and chemoreceptors if your workout caused damage to muscle or other joint tissues and inflammation has occurred."
_u14_nervous,x-oli-inline-assessment,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-inline-assessment/spinal_gross_sc.xml,"The spinal cord stops growing about at the age of 4 or 5, but the vertebral column continues to grow until around the end of puberty. What evidence of this do you see from the gross anatomy you have just learned?","The spinal column only extends about 2/3 of the way through the vertebral foramen, ending with the conus medulllaris at the level of the first lumbar vertebrae. Even though the spinal roots extend within the vertebral formen to exit through inferior intervertebral foramen, the corresponding segment of the spinal cord where those roots arise are much more superior."
