Unit,Module,Filename,Learning Objectives
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the structure of the adrenal medulla and what hormones it produces.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the structure of the pineal gland and what hormones it produces.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the structure of the pancreas and what hormones it produces.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe the endocrine glands and hormones involved in the reproductive system.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,List the endocrine glands; identify their locations within the body; and name the primary hormones that they secrete.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Compare the hormones secreted from organs with secondary endocrine function and the primary function of these organs.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Identify how endocrine function regulates the homeostasis of different organ systems in the body.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function regulates the homeostasis of water in the body and list the hormones involved in the process.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function regulates the reproductive system. List the hormones that are common to males and females.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function regulates the male reproductive system and list the hormones involved in the process.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function regulates the female reproductive system and list the hormones involved in the process.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function regulates the production of milk and list the hormones involved in the process.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function regulates the homeostasis of glucose and list the hormones involved in the process. Compare the roles of insulin and thyroid hormones.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function regulates the homeostasis of calcium levels in the body and list the hormones involved in the process.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function regulates growth and list the hormones involved in the process.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe differences between short-term and long-term stress responses.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Describe how endocrine function impacts the body’s response to stress and list the hormones involved in the process.
_u10_endocrine,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u10_endocrine/x-oli-learning_objectives/lo_endocrine.xml,Predict factors or situations affecting the endocrine system that could disrupt homeostasis.
_u11_respiratory,_u11_m1_introduction,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m1_introduction/x-oli-learning_objectives/_u11_m1_objectives.xml,Describe major functions and processes of the respiratory system.
_u11_respiratory,_u11_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m2_structures/x-oli-learning_objectives/_u11_m2_objectives.xml,Identify major diseases associated with the respiratory system and their causes.
_u11_respiratory,_u11_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m2_structures/x-oli-learning_objectives/_u11_m2_objectives.xml,Identify and describe gross & microscopic anatomy of the respiratory tract and related organs.
_u11_respiratory,_u11_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m2_structures/x-oli-learning_objectives/_u11_m2_objectives.xml,Describe the structure and function of the the respiratory conducting zone and respiratory zone.
_u11_respiratory,_u11_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m2_structures/x-oli-learning_objectives/_u11_m2_objectives.xml,Define; identify; and determine values for the respiratory volumes (IRV; TV; ERV; and RV) and the respiratory capacities (IC; FRC; VC; and TLC).
_u11_respiratory,_u11_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m2_structures/x-oli-learning_objectives/_u11_m2_objectives.xml,Describe the mechanisms of pulmonary ventilation.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Describe the four respiratory processes - ventilation; external respiration (gas exchange at lung); internal respiration (gas exchange at body tissues); and cellular respiration.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,State Henry’s Law; and relate it to the events of external and internal respiration and to the amounts of oxygen and carbon dioxide dissolved in plasma.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Describe and analyze the mechanisms of gas exchange in the lungs & tissues.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Describe how the structure of these macromolecules allow the structures of the respiratory system to perform their functions.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Explain the mechanisms of gas transport in the blood.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Describe the changes in epithelial and connective tissue seen in various portions of the air passageways and relate these changes to function.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Integrate the levels of organization in the respiratory system and their functional interconnections.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Describe the molecules responsible for oxygen and carbon dioxide exchange.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Discuss the driving forces for gas exchange between the atmosphere; the lungs; and tissues in the body.
_u11_respiratory,_u11_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m3_levels_org/x-oli-learning_objectives/_u11_m3_objectives.xml,Define partial pressure; and relate partial pressure to gas phase concentrations.
_u11_respiratory,_u11_m4_homeostasis,/Users/pawan/Documents/Project/a_and_p/content//_u11_respiratory/_u11_m4_homeostasis/x-oli-learning_objectives/_u11_m4_objectives.xml,Explain and analyze respiratory homeostatic mechanisms.
_u12_urinary,_u12_m1_introduction,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m1_introduction/x-oli-learning_objectives/_u12_m1_objectives.xml,Describe the major functions of the urinary system.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-learning_objectives/_u12_m2_objectives.xml,identify gross and microscopic anatomy of the urinary tract.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-learning_objectives/_u12_m2_objectives.xml,Identify and describe the functional process of urine formation; including filtration; reabsorption; and secretion.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-learning_objectives/_u12_m2_objectives.xml,Describe glomerular filtration rate (GFR); state the average value of GFR; and explain how clearance rate can be used to measure GFR.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-learning_objectives/_u12_m2_objectives.xml,Describe the process of tubular reabsoption including specific transport mechanisms; including active transport and osmosis.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-learning_objectives/_u12_m2_objectives.xml,Define countercurrent multiplication and countercurrent exchange; and describe how this relates to urine formation.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-learning_objectives/_u12_m2_objectives.xml,Describe the last portion of urine transport and collection for elimination.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-learning_objectives/_u12_m2_objectives.xml,Describe the micturition reflex and the voluntary and involuntary neural control of micturition.
_u12_urinary,_u12_m2_structures,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m2_structures/x-oli-learning_objectives/_u12_m2_objectives.xml,Describe the process of tubular secretion.
_u12_urinary,_u12_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m3_levels_org/x-oli-learning_objectives/_u12_m3_objectives.xml,levels of org
_u12_urinary,_u12_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m3_levels_org/x-oli-learning_objectives/_u12_m3_objectives.xml,Define the chemical properties of urine and their functions.
_u12_urinary,_u12_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m3_levels_org/x-oli-learning_objectives/_u12_m3_objectives.xml,Describe normal urine composition.
_u12_urinary,_u12_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m3_levels_org/x-oli-learning_objectives/_u12_m3_objectives.xml,Describe the anatomy and the detailed histology of the nephron.
_u12_urinary,_u12_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m3_levels_org/x-oli-learning_objectives/_u12_m3_objectives.xml,Describe the internal and external structure of the kidney; including its location; support structures and covering.
_u12_urinary,_u12_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m3_levels_org/x-oli-learning_objectives/_u12_m3_objectives.xml,Identify the major blood vessels associated with the kidney.
_u12_urinary,_u12_m3_levels_org,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m3_levels_org/x-oli-learning_objectives/_u12_m3_objectives.xml,Identify; and describe the structure and location of; the ureters; urinary bladder and urethra.
_u12_urinary,_u12_m4_homeostasis,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m4_homeostasis/x-oli-learning_objectives/_u12_m4_objectives.xml,Explain and analyze urinary homeostatic mechanisms.
_u12_urinary,_u12_m4_homeostasis,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m4_homeostasis/x-oli-learning_objectives/_u12_m4_objectives.xml,Identify and describe the factors regulating and altering urine volume and composition; including the renin-angiotensin system and the roles of aldosterone; antidiuretic hormone; and the natriuretic peptides.
_u12_urinary,_u12_m5_integration,/Users/pawan/Documents/Project/a_and_p/content//_u12_urinary/_u12_m5_integration/x-oli-learning_objectives/_u12_m5_objectives.xml,Compare the excretory systems of the body
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Explore some common misconceptions about the lymphatic system.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Explore connections between the Big Ideas of Anatomy & Physiology and the Lymphatic System and Immunity.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Recognize Big Ideas seen in the workings of individual components of the Lymphatic System and Immunity.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the major functions of the lymphatic system. Define immunity.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Compare and contrast interstitial fluid and lymph.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Compare and contrast lymphatic vessels and blood vessels in terms of structure and function. Describe the mechanisms of lymph formation and circulation. Describe the path of lymph circulation.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the mechanisms of lymph formation and circulation. Describe the path of lymph circulation.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Identify dysfunction associated with the lymphatic circulation.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe early events in the history of immunology in relation to current understanding of immunity.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Identify major diseases associated with the lymphatic system and their causes.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Integrate the levels of organization in the lymphatic system and their functional interconnections.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the basic structure and function of chemical molecules of the lymphatic system and correlate it to the overall functions of lymphatic system.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Explain how interferons; complement and tranferrins function as antimicrobial chemicals.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe how histamine; kinins; prostaglandins; leukotrienes and complement contribute to flammation.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Define and describe location of pathogen-associated molecular patterns (PAMPs) and their receptors (PRRs).
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Define and describe location of antigens and antigen receptors. Discuss the source of antigen receptor diversity.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Define and describe location of major histocompatibility complex (MHC).
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe antibody structure; list the five classes of antibodies and functional features that distinguish each class.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Define and describe the functional role of the important cytokines participating in the immune response.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Define and describe the roles of various types of white blood cells in the innate and adaptive immune response and correlate them to the overall functions of the lymphatic system.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Name the cells of the innate immune response and correlate their function to the overall functions of the innate immune response.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Name the cells of the adaptive immune response and correlate their function to the overall functions of the adaptive immune response.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Compare and contrast interstitial fluid and lymph. Describe the basic structure and cellular composition of lymphatic tissues and correlate them to the overall functions of the lymphatic system.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Identify the lymphatic organs and correlate them to the overall functions of the of the lymphatic system. Identify and describe the gross anatomical and microscopic anatomy of each organ. Describe the location and function of each organ.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Compare and contrast innate defenses with adaptive defenses. Analyze ways in which the innate and adaptive immunity cooperate to enhance the overall resistance to disease.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the types of defensive mechanisms of innate immunity such as barriers; phagocytosis; inflammation and fever.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Name the barriers and describe their anatomic; chemical and microbiological mechanisms of defense.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the origin and roles of various white blood cells in innate immunity.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the steps involved in phagocytosis and give examples of phagocytic cells in the body. Describe the mechanisms of inflammation initiation. Summarize the cells and chemicals involved in the inflammatory process. List and explain the cause of the four cardinal signs of inflammation. Explain the benefits of inflammation.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the steps involved in phagocytosis and give examples of phagocytic cells in the body.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the mechanisms of inflammation initiation. Summarize the cells and chemicals involved in the inflammatory process. List and explain the cause of the four cardinal signs of inflammation. Explain the benefits of inflammation.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Explain how the kinin-kallikrein and complement systems aid in the inflammatory response. Describe the mechanism and benefits of fever and the role of pyrogens.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Explain how the kinin-kallikrein and complement systems aid in the inflammatory response.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the mechanism and benefits of fever and the role of pyrogens.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Distinguish between innate and adaptive immunity. Distinguish the various types of lymphocytes including helper T cells; cytotoxic T cells; B cells; plasma cells and memory cells. Distinguish between humoral and cell-mediated immunity. Describe the immunological memory response.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Explore the condition and symptoms of B-Cell Chronic Leukemia using concepts and vocabulary from the Lymphatic System unit.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Explain the role of antigen-presenting cells (APCs). Distinguish and describe the processing of exogenous and endogenous antigens and provide examples of APCs.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Define immunocompetence (maturity) and self tolerance and distinguish between naïve and activated immune cells. Compare and contrast mechanisms of antigen challenge and the clonal selection processes and defense mechanisms.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Provide specific examples to demonstrate how the lymphatic system responds to maintain homeostasis in the body; particularly related to the diseases presented in the introduction.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Describe the mechanisms of lymph formation and circulation. Describe the path of lymph circulation. Compare and contrast innate (nonspecific) defenses with adaptive (specific) defenses. Analyze ways in which the innate and adaptice immunity cooperate to enhance the overall resistance to disease.
_u13_lymphatic,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u13_lymphatic/x-oli-learning_objectives/lo_lymphatic.xml,Explain how the lymphatic system relates to other body systems to maintain homeostasis.
_u14_nervous,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-learning_objectives/lo_nervous.xml,Describe the major functions of the Nervous System.
_u14_nervous,x-oli-learning_objectives,/Users/pawan/Documents/Project/a_and_p/content//_u14_nervous/x-oli-learning_objectives/lo_nervous.xml,Classify the organs that are part of the nervous system as belonging to the central nervous system (CNS) or the peripheral nervous system (PNS).
