Math,Verbal,Credits,Year,Exer,Sleep,Veg?,Cell
580,720,16,1,20,8,some,yes
500,600,16,1,30,7,no,yes
650,550,15,1,60,7.5,no,yes
640,670,15,2,40,7,some,yes
660,560,14,2,0,8,no,yes
660,520,16,2,30,8.5,no,yes
670,570,16,1,30,8.5,no,yes
560,560,15,2,50,7,some,yes
700,530,15,3,90,7,no,yes
690,600,16,1,0,6.5,no,yes
580,560,17,1,0,8.5,no,yes
780,560,18,2,90,6,no,yes
720,670,14,1,10,7.5,no,yes
580,500,17,3,15,7.5,no,yes
570,640,13,NA,30,8,no,yes
710,550,17,2,35,7,no,yes
540,730,19,1,0,8,no,yes
680,660,15,3,90,8,no,yes
630,660,15,2,0,7,no,yes
700,720,16,4,0,4.5,no,yes
700,520,15,1,0,8,no,yes
550,490,17,2,30,11,no,yes
710,600,16,1,30,7,no,yes
520,760,16,3,30,7,some,no
630,660,16,1,0,4.5,no,yes
590,570,16,1,70,7,no,yes
480,500,12,3,30,9,no,yes
600,700,15,2,50,8,no,yes
520,590,15,1,60,7,no,yes
530,580,14,3,25,6,some,no
490,490,16,1,0,7.5,no,yes
630,590,13,4,60,5,no,no
650,550,17,1,60,8,no,yes
660,540,16,1,120,8,no,no
540,600,16,1,20,6.5,no,yes
600,580,14,2,0,6,no,yes
660,750,17,1,0,3,no,yes
640,540,13,1,75,7.5,no,yes
650,600,14,1,60,8,no,no
590,560,17,1,0,7,no,no
770,640,17,1,45,7.5,no,yes
650,600,17,1,0,5,no,yes
NA,NA,4,NA,0,7.5,no,yes
520,600,16,2,0,4.5,no,yes
470,520,16,3,30,7,no,yes
620,640,16,1,30,8.5,no,yes
520,640,17,2,0,7,no,no
700,800,16,1,60,5,no,no
540,570,16,1,30,7,no,yes
400,600,17,4,60,6,no,yes
700,650,16,2,0,6.5,no,yes
670,720,17,NA,0,4.5,some,no
560,540,16,2,45,5.5,no,yes
650,630,16,1,15,7,no,yes
680,680,17,1,35,6.5,some,yes
670,610,16,1,20,5,no,NA
790,690,18,1,75,7,no,yes
NA,NA,13,4,25,6.5,no,yes
650,700,16,1,55,8,no,no
550,620,14,1,30,8,no,yes
730,580,16,1,0,8,no,yes
650,520,15,1,50,5,no,yes
680,550,13,2,30,6,no,yes
540,550,15,1,45,8,no,yes
760,680,17,1,150,7,no,yes
NA,NA,18,1,0,8,no,yes
NA,NA,16,2,30,7,no,no
490,490,16,1,0,6,no,no
720,740,16,NA,20,7,no,yes
710,630,17,1,0,8,no,yes
710,550,16,2,0,5,some,no
670,600,15,1,0,3,no,yes
670,590,16,2,0,5.5,no,yes
540,610,16,2,25,7.5,yes,yes
550,400,15,2,30,6.5,no,yes
740,750,14,2,0,7,no,yes
580,610,15,1,0,6.5,no,no
NA,NA,16,4,0,4,no,yes
600,540,16,2,30,8,no,yes
530,600,17,3,135,8.5,no,yes
600,400,14,NA,15,5,no,yes
610,590,15,1,60,8.5,no,no
710,635,17,4,0,5.5,no,yes
550,550,15,1,45,4,no,yes
590,610,14,1,0,8,no,no
620,490,15,1,150,6.5,no,yes
NA,NA,17,1,20,8,some,yes
650,610,15,2,125,8,no,NA
570,690,16,1,0,9,no,yes
620,540,15,1,60,5,no,yes
610,550,17,1,0,8.5,no,yes
540,460,17,3,0,6.5,some,yes
610,580,14,1,15,7,some,yes
580,600,12,3,40,8.5,some,no
680,600,14,2,45,6,no,yes
750,430,17,1,180,8,no,no
570,600,16,3,30,6,no,no
660,570,17,1,30,7,no,yes
540,670,18,2,0,8,no,no
550,540,15,1,180,9,no,no
630,560,17,3,110,7.5,no,yes
600,550,16,1,20,8,yes,yes
NA,NA,17,1,0,6,some,yes
540,660,17,1,120,6,no,yes
NA,NA,13,4,0,8,no,yes
480,590,15,2,0,7,no,yes
620,530,16,4,0,7,no,yes
570,500,16,4,0,6,no,yes
560,620,14,1,60,6,some,yes
570,560,16,1,0,4,no,yes
350,600,12,NA,95,8,no,yes
570,570,16,2,0,7.5,no,yes
550,600,16,3,30,10,no,yes
NA,550,15,4,60,7.5,no,yes
650,650,13,2,30,5,no,yes
500,670,18,3,210,8,no,yes
600,570,15,2,0,7.5,no,yes
480,510,19,3,120,7,no,yes
600,600,14,2,45,6,no,no
660,510,14,1,70,8.5,no,yes
480,490,18,2,15,7,no,yes
705,555,13,3,0,8,no,yes
510,500,16,1,60,8,some,yes
710,670,14,2,15,7,no,yes
560,600,16,2,60,5,no,yes
540,540,13,4,180,8,no,yes
NA,NA,14,1,120,7,no,yes
690,580,16,3,30,8.5,yes,yes
300,400,16,2,0,8,no,yes
460,580,17,4,48,5,some,yes
640,560,17,1,30,10,some,no
650,540,16,2,0,7,no,yes
740,520,15,3,20,9,no,no
590,620,18,2,45,5.5,no,yes
NA,NA,19,2,0,5.5,no,yes
580,800,17,2,80,5.5,yes,yes
540,510,16,2,0,4.5,yes,yes
580,520,14,2,45,5.5,no,yes
702,480,14,3,30,7.5,no,yes
570,500,16,2,0,9,no,yes
NA,NA,12,4,40,7,no,yes
NA,NA,13,1,50,6,no,yes
550,560,16,3,0,10,yes,yes
NA,NA,9,4,60,7,no,yes
