Gender,Height,GPA,HS_GPA,Seat,WtFeel,Cheat
Female,63,4.1,3.9,F,OverWt,No
Female,60,3.54,4,F,AboutRt,No
Male,72,3.8,4,M,AboutRt,No
Male,67.75,3.21,4,F,AboutRt,No
Male,70,3,4,B,AboutRt,No
Male,67,2.04,2.73,M,AboutRt,No
Male,67,2.8,3.81,M,AboutRt,No
Female,64.5,2.4,2.01,M,OverWt,No
Female,60.5,2.9,3.06,M,OverWt,No
Male,74,2.38,2.67,M,UnderWt,No
Female,69.5,3.83,4,M,AboutRt,No
Female,66,2.9,2.85,M,AboutRt,No
Female,65,2.91,2.75,M,OverWt,No
Female,65,2.9,3.11,B,AboutRt,No
Male,73,2.04,2.1,B,OverWt,No
Female,63,3.67,4,M,OverWt,No
Female,67,3,3.5,M,AboutRt,No
Male,66,3.3,2.93,F,AboutRt,No
Female,68,3.6,3.09,B,AboutRt,No
Female,68,3.5,4,M,AboutRt,No
Male,74,3,2.92,M,NA,No
Male,70,3.7,4,M,AboutRt,No
Female,65,NA,NA,F,AboutRt,Yes
Male,72,3.4,3.43,B,AboutRt,No
Female,63,3.33,4,M,AboutRt,No
Male,70,4.06,3.74,B,AboutRt,No
Male,75,3.8,4,F,AboutRt,No
Male,74,4,4,M,AboutRt,No
Female,62,3,4,F,AboutRt,No
Female,63,3,2.66,M,AboutRt,No
Male,70,3,3.43,B,OverWt,No
Female,71,3.2,3.98,M,AboutRt,No
Female,63,3.4,4,F,AboutRt,No
Female,63,3.5,3.49,F,AboutRt,No
Female,62,3.6,4,F,OverWt,No
Female,63,3.43,3.71,B,AboutRt,Yes
Female,65,3.92,4,F,AboutRt,No
Female,62,3,2.99,M,AboutRt,No
Female,63,2.9,2.54,F,AboutRt,Yes
Female,65,3.2,4,M,AboutRt,No
Female,63,3.4,3.8,M,AboutRt,No
Female,64,3.7,4,M,UnderWt,No
Female,68,3.4,3.26,M,AboutRt,No
Female,64,3.1,3.58,M,AboutRt,No
Female,61,3,3.35,M,AboutRt,No
Female,62,3.79,3.85,M,OverWt,No
Female,66,3.9,4,F,AboutRt,Yes
Male,74,2.1,2.86,B,AboutRt,No
Male,72,3,2.99,B,AboutRt,No
Male,72,2.06,2.21,B,AboutRt,No
Female,68,3,3.31,B,AboutRt,No
Female,65,3.81,4,M,AboutRt,No
Female,69,2.4,3.49,B,AboutRt,No
Female,65,2.6,3.44,M,AboutRt,No
Female,64,3,3.29,M,OverWt,No
Male,73,3,2.67,M,AboutRt,No
Female,64,3.9,3.72,M,AboutRt,No
Female,67,2.94,3.18,B,OverWt,No
Male,72,2.5,2.24,B,OverWt,No
Male,73,2.5,2.09,B,AboutRt,No
Male,74,2.7,2.61,B,UnderWt,No
Female,68,3.2,4,B,AboutRt,No
Female,73,2.67,2.07,B,OverWt,Yes
Male,68,2,1.83,B,AboutRt,No
Male,63,2.46,2.06,B,AboutRt,No
