Age,Gender,Comp
42,Male,9
31,Male,22
45,Male,10
45,Male,4
54,Male,0
52,Male,2
53,Male,13
76,Male,0
36,Male,14
51,Male,6
56,Male,10
46,Male,7
45,Male,10
41,Male,5
42,Male,4
26,Male,22
56,Male,1
38,Female,11
20,Female,14
69,Female,5
21,Female,23
42,Female,8
21,Female,22
61,Female,0
80,Female,0
49,Female,7
34,Female,15
29,Female,17
29,Female,14
21,Female,22
36,Female,19
76,Female,1
28,Female,21
46,Female,5
54,Female,5
54,Female,5
35,Female,16
48,Female,10
36,Female,13
71,Female,7
75,Female,0
63,Female,3
54,Female,7
78,Female,0
70,Female,0
42,Female,13
60,Female,11
60,Female,5
58,Female,0
22,Female,23
62,Female,6
70,Female,3
45,Female,10
58,Female,5
29,Female,20
21,Female,19
34,Female,19
30,Female,19
52,Female,5
23,Female,17
32,Female,22
33,Female,19
28,Female,15
54,Female,6
61,Female,0
66,Female,7
33,Female,17
43,Female,15
43,Female,8
44,Female,6
38,Female,16
51,Female,3
56,Female,0
50,Female,7
67,Female,11
31,Female,22
46,Female,11
40,Female,17
59,Female,5
23,Female,11
58,Male,9
51,Male,6
30,Male,16
41,Male,15
31,Male,19
49,Male,4
29,Male,15
36,Male,15
19,Male,13
31,Male,18
22,Male,16
31,Male,19
35,Male,11
46,Male,9
43,Male,13
44,Male,12
52,Male,16
61,Male,5
27,Male,12
54,Male,7
38,Male,14
35,Male,9
35,Male,15
34,Male,13
80,Male,0
74,Male,9
35,Male,12
31,Male,19
58,Male,5
75,Male,2
50,Male,12
75,Male,1
24,Male,16
47,Male,7
41,Male,7
56,Male,9
25,Male,12
18,Male,11
38,Male,11
27,Male,15
38,Male,7
45,Male,8
62,Male,2
66,Male,1
25,Male,18
55,Male,9
40,Male,12
42,Male,8
59,Male,5
49,Male,8
57,Male,8
50,Male,2
22,Male,24
55,Male,5
36,Male,9
31,Male,23
46,Male,10
45,Male,13
45,Male,7
75,Male,2
59,Male,0
39,Male,8
55,Male,8
40,Male,17
37,Male,11
31,Male,16
22,Male,27
42,Male,9
18,Male,25
52,Male,12
50,Male,7
41,Male,8
45,Male,11
39,Male,8
68,Male,2
50,Male,9
60,Male,8
37,Male,12
48,Male,17
46,Male,12
37,Male,13
56,Male,1
40,Male,7
54,Male,5
50,Male,5
94,Male,1
30,Male,18
21,Male,20
18,Male,25
24,Male,18
29,Male,21
19,Male,24
35,Female,9
33,Female,20
66,Male,2
21,Male,13
31,Female,19
61,Female,2
88,Female,0
72,Male,1
33,Female,10
64,Male,3
20,Female,15
52,Female,7
22,Female,16
79,Female,0
31,Male,15
33,Male,20
66,Male,7
35,Male,16
58,Male,0
54,Female,10
34,Female,18
36,Male,9
23,Male,16
63,Female,0
76,Male,1
44,Male,19
46,Male,11
36,Female,13
65,Female,7
78,Female,0
51,Male,10
41,Female,10
77,Female,1
58,Male,3
45,Female,14
46,Male,13
34,Female,15
56,Male,1
32,Female,18
34,Male,14
30,Male,30
51,Female,3
33,Female,25
30,Male,16
27,Male,30
77,Female,1
86,Female,3
60,Male,4
22,Female,22
28,Male,14
25,Male,13
29,Male,14
59,Female,4
70,Female,0
58,Male,1
45,Male,8
36,Female,9
18,Male,29
28,Female,22
28,Female,20
31,Male,28
33,Female,19
22,Male,24
59,Female,4
62,Male,3
75,Male,0
31,Female,18
62,Male,4
21,Female,17
42,Male,10
68,Male,4
52,Male,6
87,Female,1
31,Male,19
29,Female,20
22,Male,17
35,Female,18
55,Male,5
27,Male,15
24,Male,12
19,Male,12
29,Female,23
27,Female,19
42,Male,8
33,Female,13
27,Male,12
62,Male,2
32,Female,12
47,Female,9
27,Female,22
64,Male,1
42,Male,10
36,Female,17
25,Female,10
28,Female,27
47,Female,5
42,Female,12
54,Male,8
63,Male,0
27,Female,25
58,Male,4
29,Female,20
67,Male,3
49,Female,12
57,Male,5
60,Female,3
39,Male,10
40,Male,15
43,Female,0
37,Male,11
50,Female,9
49,Male,18
48,Female,6
66,Male,4
27,Male,25
38,Male,13
90,Male,1
34,Male,17
76,Male,3
56,Male,13
50,Male,5
47,Male,11
41,Female,15
80,Female,4
48,Female,7
47,Female,3
31,Female,24
23,Male,12
28,Female,25
27,Female,19
19,Female,22
73,Female,1
56,Male,7
21,Male,15
25,Male,13
82,Female,1
44,Female,11
32,Female,18
45,Female,7
58,Male,3
49,Female,4
52,Male,15
43,Female,14
22,Female,18
52,Female,6
35,Male,14
57,Male,2
53,Male,5
59,Male,4
39,Male,6
74,Male,5
29,Female,27
85,Male,0
36,Male,15
35,Male,16
64,Male,3
33,Female,23
29,Male,23
53,Male,0
37,Male,15
56,Male,7
40,Female,14
21,Female,17
32,Female,23
31,Male,25
35,Male,9
42,Male,9
60,Male,7
54,Male,8
39,Female,12
21,Male,15
52,Female,4
55,Female,0
24,Male,27
44,Male,5
23,Female,17
62,Female,0
25,Female,20
78,Female,1
60,Female,1
21,Male,21
71,Female,0
28,Male,15
21,Female,20
37,Female,12
67,Female,5
41,Female,14
56,Female,4
22,Male,19
56,Male,0
32,Female,24
26,Male,19
32,Female,13
45,Female,13
31,Female,22
44,Female,20
19,Male,21
24,Male,18
32,Female,15
62,Female,3
74,Female,0
19,Male,24
44,Male,9
40,Male,6
79,Male,1
54,Male,6
35,Female,14
31,Male,24
28,Female,27
30,Male,15
64,Male,0
21,Male,25
25,Female,11
26,Female,24
38,Male,23
47,Male,2
76,Female,0
38,Male,11
21,Female,14
66,Male,0
39,Female,10
62,Male,5
80,Female,0
30,Female,20
30,Female,21
25,Male,24
55,Female,13
64,Female,3
28,Female,25
31,Male,23
51,Male,5
66,Male,5
59,Female,8
33,Female,15
47,Female,5
40,Female,5
72,Male,3
35,Female,13
51,Male,3
45,Male,9
29,Male,18
57,Female,7
66,Female,4
48,Female,8
41,Female,13
31,Female,28
23,Female,15
88,Female,3
73,Male,8
29,Female,16
28,Female,14
47,Female,13
73,Female,4
50,Male,6
56,Female,0
23,Male,19
76,Male,3
35,Male,22
31,Male,27
46,Female,10
26,Female,11
34,Female,13
31,Female,17
31,Male,23
35,Male,15
50,Male,6
53,Female,2
54,Male,2
68,Female,1
22,Male,21
63,Male,8
29,Female,24
54,Female,5
76,Female,0
55,Male,1
54,Male,1
52,Female,8
31,Female,15
23,Female,24
64,Female,0
54,Female,6
38,Male,7
54,Male,1
52,Male,15
59,Female,11
19,Male,13
45,Female,5
60,Female,2
43,Female,10
28,Male,16
23,Male,19
41,Female,17
30,Female,26
45,Male,2
43,Male,10
42,Male,12
45,Female,6
44,Male,6
60,Female,4
45,Male,7
23,Female,19
32,Male,18
38,Male,10
61,Male,5
71,Female,3
69,Male,1
73,Male,5
49,Female,4
39,Male,14
33,Male,11
48,Female,15
18,Male,22
53,Female,4
74,Male,5
19,Male,24
53,Female,10
34,Male,16
24,Male,19
43,Male,14
50,Male,6
65,Female,5
48,Female,8
23,Female,15
68,Male,2
56,Male,0
41,Male,6
58,Female,3
55,Male,9
39,Male,9
29,Female,18
81,Male,0
34,Male,6
31,Female,17
82,Male,0
64,Female,4
75,Female,1
78,Male,1
38,Male,7
25,Female,13
44,Male,11
36,Female,18
41,Male,9
55,Male,8
41,Female,8
71,Male,1
43,Male,11
30,Female,12
39,Female,11
51,Female,8
72,Female,4
34,Male,13
26,Male,21
27,Male,35
26,Male,27
62,Male,1
59,Female,2
35,Female,26
34,Female,20
57,Female,8
39,Male,11
24,Male,23
58,Male,6
71,Male,7
21,Male,15
85,Female,1
49,Male,5
77,Male,0
60,Female,8
36,Female,10
20,Female,17
46,Female,8
37,Male,20
23,Male,24
30,Male,12
47,Female,12
59,Male,5
28,Male,17
42,Male,6
30,Male,24
63,Female,1
32,Female,19
50,Male,4
29,Female,18
64,Male,4
41,Female,6
24,Female,21
45,Male,3
31,Female,21
58,Male,2
29,Male,23
21,Male,27
79,Male,1
35,Female,10
32,Male,23
20,Male,16
43,Female,8
58,Female,3
35,Female,17
21,Female,19
51,Female,2
67,Female,2
35,Male,11
57,Female,4
32,Male,20
39,Male,10
25,Male,17
31,Female,18
37,Male,11
33,Female,19
57,Female,0
24,Female,18
20,Female,13
30,Female,24
49,Male,8
34,Male,13
68,Male,0
30,Female,26
80,Female,0
58,Female,5
27,Female,13
52,Male,6
28,Male,18
40,Female,8
51,Female,0
34,Male,18
31,Male,24
35,Male,21
52,Male,2
46,Male,9
43,Female,8
18,Female,13
72,Female,0
72,Female,5
30,Female,35
25,Female,18
40,Female,11
38,Male,16
33,Male,22
19,Male,20
30,Male,21
57,Female,4
64,Female,6
59,Female,1
25,Female,17
49,Female,2
20,Female,19
29,Male,22
38,Male,13
76,Female,1
33,Female,18
51,Female,3
31,Female,26
39,Male,9
38,Male,10
33,Female,16
48,Male,15
67,Male,7
64,Female,4
28,Female,20
28,Male,21
52,Female,10
52,Male,3
18,Male,15
55,Male,2
37,Female,10
64,Male,1
32,Female,20
18,Male,20
32,Male,27
21,Female,19
25,Male,18
55,Male,5
30,Female,25
25,Female,12
59,Male,7
77,Male,1
86,Male,1
59,Female,7
76,Female,1
41,Male,11
45,Female,7
55,Female,2
27,Female,24
40,Female,13
87,Female,1
64,Male,0
37,Female,8
47,Female,7
48,Female,6
57,Male,13
24,Female,15
42,Male,7
61,Male,2
40,Female,4
72,Female,5
34,Female,16
34,Female,13
38,Male,5
25,Female,25
47,Female,14
63,Female,4
34,Male,15
30,Female,29
29,Female,19
24,Female,16
44,Male,8
30,Female,21
58,Male,8
50,Male,5
31,Male,25
27,Female,4
55,Male,7
43,Male,7
19,Female,19
61,Male,2
52,Female,3
23,Male,13
69,Female,5
41,Male,12
46,Male,15
75,Female,1
21,Male,7
36,Female,12
69,Male,4
56,Male,8
33,Male,16
44,Female,13
38,Female,22
19,Female,14
30,Female,17
69,Female,2
45,Male,0
67,Male,3
39,Male,14
84,Female,0
47,Female,9
39,Male,9
30,Female,17
41,Female,6
31,Female,17
24,Male,9
51,Male,7
54,Female,4
52,Male,1
25,Male,14
32,Female,24
55,Female,5
18,Female,15
66,Male,5
39,Male,10
82,Male,1
52,Female,8
64,Female,4
47,Male,12
30,Female,16
38,Female,13
26,Male,12
49,Male,0
62,Female,0
39,Male,14
40,Female,15
76,Male,1
66,Female,7
52,Female,11
59,Female,8
30,Male,20
55,Male,9
27,Male,23
32,Male,19
33,Female,21
63,Male,13
51,Male,12
28,Male,20
38,Male,20
53,Female,8
19,Male,22
36,Female,18
52,Male,12
32,Male,21
27,Female,25
25,Female,19
80,Male,2
27,Male,14
67,Male,5
40,Male,13
58,Female,3
46,Male,12
41,Female,11
29,Male,10
31,Female,18
34,Female,13
76,Female,6
87,Male,1
40,Female,14
44,Female,7
47,Female,5
42,Female,8
58,Male,9
41,Female,9
49,Male,9
33,Male,16
48,Male,4
60,Male,3
55,Male,1
47,Female,13
25,Male,11
31,Female,13
51,Female,8
24,Male,17
19,Female,16
46,Male,10
39,Male,12
89,Male,0
28,Female,27
47,Female,15
87,Male,0
50,Female,9
20,Male,14
40,Male,16
61,Male,4
48,Female,7
69,Female,1
38,Male,15
69,Male,9
63,Male,4
37,Female,18
67,Male,3
55,Female,9
27,Male,25
34,Female,18
69,Female,4
63,Male,5
27,Male,13
53,Male,0
48,Male,7
29,Female,28
40,Male,13
49,Male,9
44,Female,13
29,Male,23
38,Female,15
78,Female,0
32,Female,21
58,Female,0
61,Female,3
45,Male,10
56,Female,8
35,Female,10
51,Female,8
42,Female,18
70,Female,2
42,Male,14
23,Female,21
40,Male,9
70,Male,3
27,Male,15
42,Female,12
20,Female,13
53,Female,1
55,Female,4
22,Female,21
52,Female,11
67,Male,3
50,Male,5
42,Male,8
31,Female,18
49,Female,3
30,Female,20
45,Female,14
35,Female,17
69,Male,3
47,Female,10
32,Male,20
29,Male,16
35,Female,3
36,Female,12
24,Female,21
20,Female,23
30,Female,19
78,Female,0
60,Female,10
34,Male,24
43,Male,12
37,Male,21
33,Female,17
25,Male,18
45,Male,11
18,Female,16
58,Female,2
24,Female,11
57,Male,10
27,Male,22
54,Female,8
35,Male,13
52,Male,2
28,Female,28
32,Female,15
43,Female,5
24,Female,15
20,Female,13
31,Female,20
50,Male,2
54,Female,13
46,Male,11
72,Male,4
55,Female,2
49,Female,6
34,Male,22
57,Male,4
36,Female,10
24,Male,10
64,Female,3
34,Male,19
20,Male,22
29,Female,8
40,Male,4
88,Female,0
24,Female,28
42,Male,2
57,Male,7
38,Female,8
43,Male,0
46,Female,13
46,Female,10
50,Female,5
24,Male,26
37,Male,20
71,Male,0
24,Male,17
66,Female,1
28,Male,22
34,Female,10
32,Female,22
51,Female,10
51,Male,6
46,Female,9
25,Male,22
50,Female,6
28,Male,24
54,Male,2
54,Female,4
41,Female,12
65,Male,13
32,Female,24
18,Female,18
23,Male,14
60,Female,6
28,Male,16
48,Female,11
20,Female,19
57,Female,6
53,Female,2
34,Female,13
46,Male,10
59,Female,9
32,Female,16
31,Female,22
28,Male,16
51,Male,13
77,Female,0
45,Male,8
63,Male,6
41,Male,2
51,Male,3
31,Female,20
36,Male,8
28,Male,21
47,Male,9
33,Female,23
25,Female,6
36,Male,11
25,Male,11
62,Female,3
56,Male,6
30,Female,18
52,Female,15
48,Female,9
25,Male,14
69,Male,1
75,Female,1
31,Female,12
67,Female,4
51,Female,13
39,Male,13
35,Male,13
37,Female,13
38,Female,9
24,Female,21
49,Male,10
93,Female,0
49,Male,12
46,Male,9
38,Male,12
45,Male,10
57,Female,6
46,Male,9
71,Male,3
84,Male,0
32,Female,19
37,Female,18
35,Male,20
48,Male,16
53,Female,10
18,Male,24
41,Female,14
64,Female,3
37,Female,8
18,Female,19
23,Female,16
85,Female,0
58,Male,3
36,Male,10
43,Male,12
40,Male,7
43,Male,8
40,Female,15
34,Female,14
20,Male,23
61,Female,11
59,Male,7
55,Female,15
67,Female,6
76,Female,5
33,Female,23
82,Female,0
37,Male,14
23,Male,17
50,Female,8
70,Male,0
35,Female,16
39,Male,15
53,Female,8
45,Male,5
41,Male,14
53,Female,4
23,Male,20
46,Female,13
71,Female,12
49,Female,9
28,Female,18
77,Female,1
47,Female,3
55,Female,6
37,Male,12
43,Male,14
87,Male,1
44,Female,6
23,Female,15
26,Female,20
30,Female,23
39,Male,10
56,Male,9
49,Male,10
64,Female,1
33,Male,22
27,Male,20
60,Male,7
41,Male,4
24,Female,22
46,Male,16
82,Male,0
31,Male,19
38,Female,17
52,Male,4
27,Female,16
31,Female,20
51,Female,9
86,Male,1
49,Female,10
26,Male,20
47,Male,9
73,Female,1
41,Female,10
39,Male,1
66,Male,0
28,Female,18
30,Female,13
41,Female,12
42,Female,6
39,Male,14
45,Female,4
27,Female,13
49,Male,1
46,Female,5
31,Female,25
37,Male,6
38,Female,13
54,Female,5
64,Male,0
60,Female,2
48,Male,10
58,Male,9
54,Male,1
47,Female,10
26,Female,17
27,Female,26
58,Male,5
31,Female,23
46,Female,4
26,Female,10
30,Female,25
43,Female,10
59,Male,7
59,Female,4
61,Male,7
43,Female,9
24,Female,10
59,Male,1
87,Male,1
26,Male,22
46,Male,9
20,Female,6
27,Male,31
27,Male,18
43,Female,10
56,Male,5
48,Female,7
43,Male,15
31,Male,23
31,Male,16
30,Male,14
27,Male,27
56,Female,2
30,Female,16
60,Female,1
75,Female,1
26,Female,22
50,Female,9
56,Male,5
36,Female,6
19,Male,23
48,Female,1
38,Female,10
22,Male,23
32,Female,15
39,Female,12
68,Female,2
56,Female,2
46,Female,6
36,Female,9
70,Male,9
51,Female,5
38,Male,8
20,Male,19
69,Male,3
18,Female,17
48,Male,7
30,Female,18
57,Female,5
34,Male,10
23,Male,10
68,Female,4
30,Male,15
49,Female,11
64,Female,0
27,Female,14
31,Male,18
45,Male,12
42,Male,16
50,Female,0
34,Female,11
46,Male,10
76,Female,2
45,Female,8
51,Male,10
25,Female,15
31,Male,18
39,Male,10
47,Female,8
73,Female,3
44,Female,12
48,Male,16
47,Female,5
51,Female,5
71,Male,3
29,Male,16
69,Male,0
53,Male,2
64,Female,2
20,Female,18
34,Male,17
57,Male,2
41,Male,13
45,Female,9
20,Female,18
35,Male,14
30,Male,15
20,Female,23
71,Female,0
44,Female,12
62,Male,7
37,Male,13
31,Female,17
63,Female,3
41,Male,6
25,Female,17
53,Female,8
21,Female,17
64,Male,2
24,Male,13
19,Female,21
48,Female,4
20,Male,18
36,Male,11
50,Female,12
33,Female,22
29,Female,22
54,Male,10
63,Female,3
26,Male,21
60,Female,4
40,Male,7
66,Female,0
42,Female,15
43,Female,2
50,Female,13
67,Female,3
62,Male,1
61,Female,1
23,Female,18
28,Male,32
47,Male,9
49,Male,3
80,Female,0
55,Female,6
66,Female,8
31,Female,24
57,Male,7
32,Female,21
39,Female,21
68,Female,2
55,Male,2
28,Male,23
88,Female,0
80,Female,1
56,Female,7
57,Male,7
40,Female,15
33,Male,22
60,Male,6
28,Female,16
50,Female,6
23,Male,9
57,Female,6
30,Female,20
35,Female,11
74,Female,0
44,Male,7
34,Male,29
48,Female,10
48,Male,10
29,Female,20
28,Male,20
22,Male,22
41,Female,16
49,Male,15
46,Female,11
36,Male,17
65,Female,2
38,Female,10
79,Female,0
27,Female,9
38,Male,8
30,Male,20
25,Female,14
62,Male,10
39,Male,10
35,Male,16
61,Female,4
66,Female,1
34,Female,21
65,Male,0
36,Male,15
67,Male,4
35,Female,13
42,Female,7
28,Female,22
58,Male,4
18,Male,16
50,Male,12
58,Female,1
34,Female,12
20,Female,18
38,Male,11
56,Female,5
53,Female,4
20,Female,20
38,Male,12
50,Female,4
68,Male,1
71,Female,7
49,Male,7
24,Female,20
44,Male,4
42,Female,15
47,Male,6
33,Female,17
40,Male,8
28,Female,25
31,Female,19
53,Female,10
28,Female,6
77,Male,2
32,Male,27
49,Male,14
52,Female,3
43,Male,12
58,Female,6
40,Female,4
45,Female,7
30,Male,24
41,Male,15
49,Male,10
36,Male,14
27,Female,13
32,Male,21
40,Male,12
35,Female,15
37,Female,9
49,Male,9
37,Female,12
64,Male,7
62,Female,2
56,Male,0
28,Male,17
39,Male,7
34,Male,20
50,Male,3
52,Female,2
26,Female,14
53,Female,17
32,Male,27
34,Male,14
55,Female,0
33,Male,16
29,Male,28
25,Female,24
24,Male,16
52,Female,14
45,Male,9
65,Female,3
44,Male,10
57,Male,5
27,Male,35
35,Male,13
54,Female,1
43,Female,6
74,Male,4
38,Male,15
24,Male,18
71,Male,0
58,Male,6
70,Male,5
31,Male,16
20,Female,23
54,Female,5
39,Male,10
31,Female,14
76,Female,0
41,Male,3
24,Male,7
53,Male,1
49,Female,6
27,Female,23
20,Female,19
55,Female,4
82,Male,3
35,Female,19
30,Female,27
42,Female,14
41,Male,10
35,Female,17
55,Male,5
75,Male,0
59,Male,11
58,Female,5
37,Female,9
21,Male,16
30,Female,25
60,Male,9
44,Male,6
40,Female,8
65,Female,1
41,Male,12
51,Female,6
54,Female,6
19,Female,19
49,Female,5
21,Male,13
40,Female,8
23,Male,11
66,Male,0
27,Male,12
28,Female,30
19,Female,12
75,Female,0
34,Male,16
43,Female,11
69,Male,2
35,Male,14
38,Male,21
18,Male,19
21,Male,5
41,Female,13
53,Female,3
40,Female,7
25,Male,12
39,Male,4
28,Female,20
80,Female,1
23,Male,21
33,Male,20
48,Male,12
63,Female,4
90,Male,1
31,Male,25
38,Male,18
25,Male,13
61,Male,5
43,Female,10
37,Male,12
35,Male,17
36,Male,11
51,Male,12
63,Male,3
53,Male,3
29,Female,23
39,Female,8
35,Male,10
36,Female,10
50,Female,5
81,Female,1
80,Male,1
30,Female,19
29,Female,19
41,Male,9
39,Male,14
68,Male,0
64,Female,4
37,Female,17
42,Female,14
38,Female,14
25,Female,12
44,Female,12
59,Female,5
32,Female,24
38,Female,19
23,Female,20
59,Male,5
32,Female,19
38,Female,10
42,Male,11
24,Female,16
44,Female,11
39,Male,6
50,Female,7
31,Female,17
42,Male,2
37,Male,13
26,Female,19
75,Female,0
30,Female,30
53,Female,11
34,Male,15
62,Male,0
42,Female,15
36,Female,11
27,Female,23
86,Male,1
18,Female,25
61,Female,1
59,Male,8
51,Female,7
24,Female,21
78,Male,3
66,Male,1
42,Female,12
55,Female,12
32,Male,19
51,Male,14
72,Female,0
36,Female,8
26,Female,22
30,Female,25
55,Male,9
48,Male,2
25,Male,20
19,Male,25
36,Female,17
51,Female,8
39,Male,8
37,Male,8
56,Female,9
32,Female,24
18,Female,22
73,Female,2
45,Male,9
30,Female,16
47,Female,3
43,Male,10
60,Female,7
56,Female,5
30,Male,12
36,Male,20
50,Female,7
63,Female,6
25,Female,19
64,Male,0
41,Female,10
33,Male,19
49,Male,2
66,Male,0
32,Female,14
46,Female,8
28,Female,7
45,Male,19
42,Female,13
65,Male,1
24,Female,16
47,Male,11
33,Male,17
30,Male,24
36,Male,18
69,Male,0
30,Female,20
66,Male,9
85,Female,1
54,Male,4
35,Male,15
51,Male,7
31,Female,23
25,Female,17
51,Male,9
41,Female,4
33,Male,22
62,Female,10
22,Male,16
33,Female,31
79,Female,1
73,Male,3
33,Female,18
21,Male,14
42,Male,8
42,Male,14
27,Female,9
86,Male,0
34,Female,13
42,Female,17
43,Male,8
51,Male,1
43,Female,10
32,Male,20
19,Female,23
42,Female,10
35,Female,18
89,Female,1
53,Female,4
47,Male,7
41,Male,9
46,Male,11
39,Male,14
28,Female,16
32,Female,15
25,Male,14
36,Female,12
64,Male,4
33,Male,18
62,Female,3
30,Female,20
38,Male,15
22,Male,20
74,Male,0
53,Female,10
26,Male,25
25,Male,20
72,Female,4
29,Male,16
60,Female,2
42,Female,10
77,Male,1
44,Female,8
41,Male,17
39,Male,11
51,Female,3
32,Male,24
25,Female,15
33,Female,26
47,Female,15
51,Male,13
40,Male,13
42,Female,2
53,Male,7
31,Female,20
58,Male,2
25,Male,13
29,Female,28
57,Male,0
49,Female,9
25,Female,13
41,Female,16
36,Male,15
38,Male,14
55,Male,6
35,Female,14
31,Male,23
26,Female,15
82,Female,1
23,Female,14
43,Male,4
77,Female,2
31,Female,22
31,Female,23
29,Male,22
48,Male,1
37,Female,7
19,Male,13
24,Female,23
37,Female,6
32,Male,22
69,Female,1
83,Female,1
30,Female,22
79,Female,3
31,Female,16
59,Female,3
33,Male,21
36,Male,9
25,Male,17
57,Male,5
87,Male,1
32,Female,31
27,Male,26
32,Female,20
39,Male,12
40,Female,14
84,Female,0
62,Female,7
18,Male,24
43,Female,4
49,Female,6
36,Female,11
19,Female,15
41,Female,18
64,Male,2
34,Female,14
47,Female,2
25,Female,12
48,Female,8
28,Male,27
41,Female,6
40,Female,14
37,Female,9
48,Female,11
55,Female,9
30,Male,24
85,Female,0
44,Male,7
39,Female,14
48,Female,2
32,Male,14
34,Female,13
22,Female,23
30,Female,24
25,Male,20
19,Male,12
29,Female,17
36,Male,8
46,Female,11
63,Female,3
23,Female,18
40,Male,8
49,Female,6
68,Male,5
44,Female,19
75,Male,2
25,Male,11
27,Male,26
63,Male,3
45,Female,12
88,Male,1
56,Female,12
47,Male,12
71,Male,5
49,Male,6
34,Female,19
34,Female,19
60,Male,6
28,Male,18
69,Male,1
83,Male,1
26,Male,23
36,Male,10
58,Male,4
41,Male,13
31,Male,14
28,Female,9
34,Female,11
30,Female,20
30,Male,17
54,Male,3
23,Female,17
21,Female,16
84,Female,0
32,Female,22
75,Male,0
40,Male,10
39,Male,14
38,Male,8
71,Male,2
21,Female,16
38,Female,7
53,Male,2
35,Male,16
34,Male,16
34,Female,24
33,Female,31
36,Female,14
81,Female,0
63,Male,9
53,Male,4
30,Female,20
39,Male,10
33,Female,26
88,Male,0
19,Male,18
29,Female,19
22,Female,17
39,Female,10
65,Male,1
29,Male,33
74,Male,5
52,Male,12
51,Female,8
25,Male,13
39,Female,13
59,Female,8
52,Male,1
29,Male,12
37,Male,10
35,Female,16
73,Female,0
69,Male,4
28,Female,23
41,Male,13
18,Male,17
